Dealer Name,Address,City,State,Contact,Email
Gulf Ashley Motor Ltd.,13th Km milestone Patadi  Korba Champa Road495677,Korba,Chattisgarh,07759217566/07759217567/9962127384,gaml.korba.bm@gamil.com
Goel Cargo Pvt. Ltd.,Jayant Road  Rewa Tower486889,Sidhi,Madhya Pradesh,7389917777/7389917752 / 7389917753,gyan.jnt@gmail.com
Automotive Manufacturers Pvt Ltd,"8165 Sasunavghar,Next to Kinara Dhaba, NH No 8,Naigaon 401208",Thane,Maharashtra,"9769210370(sal), 9619663140(ser)",lsales.vasai@automotiveml.com;lservice.vasai@automotiveml.com
Automotive Manufacturers Pvt Ltd,"8371 Survey no.219/1 221/2,NH9,Swaleshwar , Pune Solapur Highway 413 213",Solapur,Maharashtra,91580 01072 98507 71614,kalyani.sol@automotiveml.com/   lservice.sol@automotiveml.com
T V Sundram Iyengar and Sons Limited,13 Govardhan Colony Jaora Road Behind Sharma Fabrication457001,Ratlam,Madhya Pradesh,(07412) 260037/47 / 9589007493 / 7024121347,manoj.pandey@tvs.in
Automotive Manufacturers Pvt Ltd,"8164 P No 1A/12/14-18 29 33, Sur No-47 288  NH9, Vijayawada Road 508206",Nalgonda,Telangana,9963553570,wm.kdd@automotiveml.com
Automotive Manufacturers Pvt Ltd,"8164 P No 1A/12/14-18 29 33, Sur No-47 288  NH9, Vijayawada Road 508206",Nalgonda,Telangana,9963553570,wm.kdd@automotiveml.com
T V Sundram Iyengar and Sons Limited,Opp Rakesh  Chhabra  Madhuban Plaza451666,Barwani,Madhya Pradesh,9589012682 / 7024121323,sunil.rajpoot@tvs.in
T V Sundram Iyengar and Sons Limited,Village Sameli Chaudhey Behind ITC Warehouse Four Line ByePass Road458441,Neemuch,Madhya Pradesh,(07423)264100/264099 / 9589012876 / 9589007493,manoj.pandey@tvs.in
Automotive Manufactures Pvt. Ltd.,"Plot No 344/1, GIDC  Chitra364004",Bhavnagar,Gujarat,0278-2444716/0278- 2565240/9909434351/9227500187,amplbhavnagar@yahoo.com
Duggal Automobiles Pvt Ltd.,"34687 Near A- B Road Toll Barrier (NH3) , Near IITS college 473001",Guna,Madhya Pradesh,8458802639/ 9826729893,gm@duggalauto.com  service@duggalauto.com  dhakad.narendra@gmail.com
Duggal Automobiles Pvt Ltd.,"30129 157/3,NH 12,Bhopal Hoshangabad Road, Near Mandideep  462046",Raisen,Madhya Pradesh,"84588 00208, 84588 00203",gm@duggalauto.com  service@duggalauto.com
Automotive Manufactures Pvt. Ltd.,"N.H. No. 8B,OPP. PARIN FURNITURE, Gondal Road, Kotharia Village360 022",Rajkot,Gujarat,0281-2782000/0281-2782062/9712322256/9377716850,amlkth@yahoo.com
GD Auto Services Pvt Ltd,30066 F1  Phase I  RIICO Industrial Area  Sangaria By Pass 335512,Hanumangarh,Rajasthan,9413934644(CMD) 9414088644 (Director),gdauto.al@gmail.com
Durga Motor Company,"39905 NH Ã¢ÂÂ 66, Tallur Junction,Kundapura Taluk 576201",Udupi,Karnataka,"9,44,81,20,81,89,74,14,00,000","uday@durgamotors.com,gnanesh@durgamotors.com"
Automotive Manufactures Pvt. Ltd.,"NH8, Shamla Ji Road, Near Maan Hotel383001",Sabarkantha,Gujarat,02772-234344/234345/9825567147 /9825570701,amplhmt@yahoo.com
Automotive Manufactures Pvt. Ltd.,"Plot No. 11 & 12, GIDC, Phase-II, Okha -Rajkot Bypass Road,Dared361004",Jamnagar,Gujarat,0288-2730844/2730771/9898955277/9173676720,ampldared@yahoo.com
Durga Motor Company,"7958 NH17, Kulur Junction,400C-1, KIADB,BAIKAMPADY INDL AREA 575 013",Dakshina Kannada,Karnataka,9900505818,durgamotorscompany@yahoo.co.in
Vardhaman Automotives,NH6  Opp Shital Chaya Restaurant  Manaki491441,Rajnandgaon,Chattisgarh,9826021302/8889150999/7869987072/9826721306,vardhman.service.rjn@gmail.com
Vardhaman Automotives,Darshan Lochan Complex  Shop No 9 Opp Gidam Naka494 001,Bastar,Chattisgarh,07821-247228-07821-247226 / 9907114110 / 9826720000,leylandraipur@sify.com
DCS Motors Pvt Ltd,"8420 NH30, Sabalpur  Banstar  800 009",Patna,Bihar,98352 76782/ 9304074148,dcsleyland@gamil.com
Bachhav Motors,"25859 Gate no: 2158, NH-6,near chirmade petrol pump 425309",Jalgaon,Maharashtra,"9822661122(sal), 9822663355(ser)","sales@bachhavmotors.com,service@bachhavmotors.com"
Automotive Manufactures Pvt. Ltd.,"Survey no.219/1 221/2,NH9,Swaleshwar , Pune Solapur Highway413 213",Solapur,Maharashtra,02176060111/9769206011/9421287112,anands.sol@automotiveml.com
Automotive Manufactures Pvt. Ltd.,"Hissa no 3/4/5 Ambegaon Budruk Tal.Haveli , Dist.Pune411046",Pune,Maharashtra,2024362961,lservice.pna@automotiveml.com
Automotive Manufactures Pvt. Ltd.,"148/1D  Mahalunge  Talegaon Chakan Road ,Next to Rinder Co.410 501",Pune,Maharashtra,02135679730/02135679731/9881726077/9850990070,lsales.chakan@automotiveml.com
Goel Cargo Pvt. Ltd.,26402 Nh 7  Near Bela satna Road Village Umari  Rewa 485116,Rewa,Madhya Pradesh,7389917770,"service.galrewa@gmail.com, director.gelashokleyland@gmail.com"
Pagariya Auto Pvt. Ltd.,SH 60 At Post Valad Gaon Opp Bajaj Auto Main Gate Pandharpur431133,Aurangabad,Maharashtra,9975895845/ 8600037207/ 9970012348/ 0240-6455187/ 0240-6455188,alsales@pagariyaauto.com
Goel Cargo Pvt. Ltd.,"8501 NH 75 PANNA ROAD,ITORA SOHAWAL 485001",Satna,Madhya Pradesh,73899 17753,service.goelashokleyland@gmail.com  director.goelashokleyland@gmail.com
Automotive Manufactures Pvt. Ltd.,"P-1-12,MIDC Area Ambad, Nashik422 010",Nashik,Maharashtra,9673006871/9673000873/9673000895,lservice2.nsk1@automotiveml.com
Automotive Manufactures Pvt. Ltd.,"Sasunavghar,Next to Kinara Dhaba, NH No 8,Naigaon401208",Thane,Maharashtra,9769210342/9769210344,lservice.vasai@automotiveml.com
Globe Auto Parts (Regd),7826 Shukrana Farms-Opp Amristar Engineering College  Manawala  GT Road 143001,Amritsar,Punjab,"8283838400, 8283838200","sethiglobe@live.com, globeauto_wsasr@rediffmail.com"
