"Dealer Name","Address","City","State","Pincode","Contact","Email"
"Volkswagen Jabalpur, Bhedaghat","Bhedaghat Road, By-pass Crossing,  P. O. Kugwan,   Jabalpur","Jabalpur","Madhya Pradesh","482003","0761 - 2672700 / 9826651202 / 9826263489","saleshead@vw-frontiercars.co.in"
"Volkswagen Jaipur, Tonk Road","Sanghi Garden, Tonk Road   Jaipur","Jaipur","Rajasthan","302018","9001993321 / 0141 4087000","sales@vw-tanyacars.co.in"
"Volkswagen Jalandhar, Ansal Plaza Multiplex","Near Ansal Plaza Multiplex, GT Road VPO Khajurla Dist. Kapurthala Jalandhar","Jalandhar","Punjab","144001","9592199999 / 0181 3089999","smjal@vw-lallymotors.co.in"
"Volkswagen Jamshedpur, Adityapur","NS-2, Phase-II, Industrial Area, Adityapur,   Jamshedpur","Jamshedpur ","Jharkhand ","831013","9771432900 / 0657 2200128","sales@vw-imperialautomobiles.co.in"
"Volkswagen Jodhpur, New Power House Road","29(2A), Light Industrial Area, Shakun Motors Tiraya ITI Chowrah – New Power House Road  Jodhpur","Jodhpur","Rajasthan","342003","9530241111 / 9530245678 / 0291 2777777","sales@vw-shakunmotors.co.in"
"Volkswagen Kannur, Survey Number 4/C","Survey Number 4/C,   Kannur","Kannur","Kerala","670621","9544202233 / 0497 3300000","salesmanager.knr@vw-phoenix.co.in"
"Volkswagen Kanpur, 14/63 Civil Lines","14/63 Civil Lines   Kanpur","Kanpur","Uttar Pradesh","208001","7704002121 / 7704002122","reception@vw-rmplcars.co.in"
"Volkswagen Karimnagar","No. 8-6-401 Kattarampoor, Hyderabad Road Karimnagar","Karimnagar","Telangana","505001","8780000000","sm@vw-karimnagar.co.in"
"Volkswagen Karnal, KM Stone","117/8 KM Stone, G.T. Road, Karnal  Karnal","Karnal","Haryana","132001","9992333552 / 8929222444","sales@vw-psbautosales.co.in"
"Volkswagen Kolhapur, Shiroli Pune Bangalore Road","122/1, Shiroli Pune Bangalore Road  Kolhapur","Kolhapur","Maharashtra","416122","8975769697 / 0230 2461516 / 0230 2461517","gmsales@vw-uniqueauto.co.in"
"Volkswagen Kolkata (AJC Bose), Trunk Road","AJC Tower, 204 AJC Bose Road","Kolkata","West Bengal","700017","8420012061 / 033 22817010","debraj.saha@vw-oslexclusive.co.in"
"Volkswagen Kolkata (Raikva), Rammohan Mallick Garden Lane","Raikva, 3A,  Rammohan Mallick Garden Lane,  Kolkata","Kolkata","West Bengal","700010","8420012061 / 033 23720485","debraj.saha@vw-oslexclusive.co.in"
"Volkswagen Kollam, Manzor","KP XII/607C,Manzoor /Musaliarnn Tower,2nd Mile Stone Kilikolloor  Kollam","Kollam","Kerala","691004","9544955505 / 0474 3295888 / 9633026944","salesmanager.klm@vw-evmcars.co.in"
"Volkswagen Kottayam, Thellakom PO","R.Syno: 13/636,  Thellakom PO,   Kottayam","Kottayam","Kerala","686016","9895764023 / 0481 3011555","salesmanager.ktm@vw-evmmotors.co.in"
"Volkswagen Lucknow, Faizabad Road","Viraj Corporate Towers, TCG/1-A-G-2 Vibhuti Khand,  Shaheed Pathff Faizabad Road, Behind Indira Gandhi Pratishthan / High Court Premises,Gomti Nagar, Lucknow","Lucknow","Uttar Pradesh","226010","9628371111","abhishek.tilhari@vw-virajdistributors.co.in"
"Volkswagen Ludhiana, G.T Road Jugiana","VPO Jugiana, G. T Road","Ludhiana","Punjab","141020","9780199999 / 0161 3089999","smldh@vw-lallymotors.co.in"
"Volkswagen Madras, Atco Colony Road","64/103 Q, 3rd Avenue, Annanagar, Chennai - 600040. WS:No. 13, Atco Colony Rd., Alandur, Chennai -  600016.  Chennai","Chennai","Tamil Nadu","600040","8056099499 / 044 42288000 / 044 42288001 / 044 42288002","gm.sales@vw-kuncapital.co.in"
"Volkswagen Madurai, SIDCO Industrial Area","H-1, SIDCO Industrial Area   Madurai","Madurai","Tamil Nadu","625008","9500709933 / 0452 2481000 / 0452 2481010","sureshb@vw-ramanicars.co.in"
"Volkswagen Mallapuram, Malappuram Palakkad Highway","KP-XV\\238A, Malappuram Palakkad Highway 966 Koottilangadi Post  Mallapuram","Malappuram","Kerala","676507","0493 3272000","agmsales.mpm@vw-phoenix.co.in"
"Volkswagen Mandi, Gutkar","Khasra No. 384, Near Central Bank of India, VPO : Gutkar, Tehsil : Balh, Mandi   Mandi","Mandi","Himachal Pradesh","175021","7807068655 / 7807068655","sales@vw-santautoways.co.in"
"Volkswagen Mangalore, Bypass Road Pumpwell Circle","Inland Galore Kankanady Bypass Road Pumpwell Circle  Mangalore","Mangalore","Karnataka","575002","9845502727 / 9845502727","sandesh.shenoy@vw-bharath.co.in"
"Volkswagen Mehsana, Nagalpur","319, Next to China Garden Party Plot, State Highway, Nagalpur  Mehsana","Mehsana","Gujarat","384002","9512009801 / 9512009801","gm@vw-parklanemotors.co.in"
"Volkswagen Moovattupuzha, Sangamam Junction Market P O","Building No:24/138-A,B,C Sangamam Junction Market P O, Kadathy Moovattupuzha","Muvattupuzha","Kerala","686673","9995481210 / 0485 2810832","salesmanager.mvpa@vw-evmcars.co.in"
"Volkswagen Moradabad, Madhura Heritage","Madhuram towers, Near Radha Krishna Mandir Extension,  Madhuram heritage, Delhi Road,   Moradabad","Moradabad","Uttar Pradesh","244001","9917500028 / 9917500029","saleshead.mbd@vw-maasheetla.co.in"
"Volkswagen Mount Road, Whites Road","7A, Whites Road,   Chennai","Chennai","Tamil Nadu","600014","8754440920 / 044 40407070 / 044 40407080","thirulogachander.k@vw-sundarammotors.co.in"
"Volkswagen Mumbai North, Link Road","Unit No. 5,6 Shiv Shrusti Co-operative Housing Society ,  Mahavir Nagar, Link Road,  Kandivili West, Mumbai","Mumbai","Maharashtra","400067","7666740000 / 7718868037","gm@vw-modyautocorp.co.in"
"Volkswagen Mumbai West","Shop No 2,3,4, Kartik Commercial Complex, New Link Road, Opp Laxmi Industrial Estate, Andheri West","Mumbai","Maharashtra","400053","9833598335","gm.sales@vw-autobahn.com"
"Volkswagen Mysore Road, Mysore Road","Ground Floor, Building No.41, T.M. Industrial Estate, Survey No.26/1 A2, R.R. Nagar Zone,12th K.M. Mysore Road, Bangalore - 560059   Bangalore","Bengaluru","Karnataka","560059","9900053496","salesmys@vw-bangaloremotors.co.in"
"Volkswagen Mysore, Kasaba Hobli","215/1, Kasaba Hobali    Mysore","Mysuru","Karnataka","570017","9513134949 / 9108012201","gm@vw-kprcars.in"
"Volkswagen Nagpur, Main Estate Road","C-5/1, Main Estate Road Hingana  Nagpur","Nagpur","Maharashtra","440028","0712 6680505 / 07104 237052","info@vw-sadiqmotors.co.in"
"Volkswagen Nashik, Bombay Agra Road","P11/ 1, Ambad MIDC Bombay Agra Road  Nasik","Nashik","Maharashtra","422010","8888880990 / 0253 2380622 / 0253 2380666 / 0253 2380555 / 0253 2380333","yusuf.khan@vw-shreekripa.co.in"
"Volkswagen Navi Mumbai, Sector No.1 Nerul","Plot No 51, Kamdhenu Building, Ground Floor, Near Juinagar Station, Sion Panvel Highway, Juinagar, Navi Mumbai","Navi Mumbai","Maharashtra","400706","9833598335","gm.sales@vw-autobahn.com"
"Volkswagen Navsari, Green Road","Opp. Swami Narayan Temple, Kabilpore, N. H. No. 8, Grid Main Road,","Navsari","Gujarat","396424","02637 304333","sales@vw-navjivan.co.in"
"Volkswagen NCR East, Ghaziabad","E-24, New Arya Nagar   Ghaziabad","Ghaziabad","Delhi","201001","9999278000 / 0120 4313777 / 0120 4337433","saleshead@vw-liftech.co.in"
"Volkswagen Noida, Sector 6","A-18,Sector 6,   Noida","Noida","Delhi","201301","9510645678 / 0120 – 4069900 / 0120 - 4069949","corporate@vw-virajautomobiles.co.in"
"Volkswagen Palace Cross, Palace Cross Road","No 1, Palace Cross Road   Bangalore","Bengaluru","Karnataka","560020","080 23561166","sales@vw-bangaloremotors.co.in ; smpcr@vw-bangaloremotors.co.in"
"Volkswagen Palace Cross, Victoria Road","Volkswagen Palace Cross, No.12, Victoria Layoutfficers Colony, Agaram Post,","Bengaluru","Karnataka","560047","08023561166","corpam@vw-bangaloremotors.co.in"
"Volkswagen Panipat, Woolen Mills Sector 8","Near Toll Plaza Adjoining Vishal Woolen Mills Sector 8  Panipat","Panipat","Haryana","132103","9728111300 / 8059599900","sales@vw-ppautotek.co.in"
"Volkswagen Pathanamthitta","EVM Passenger Cars India Pvt Ltd. Lithin Bhavan, Thoppil Building, Churulikodu","Pathanamthitta","Kerala","689645","0468 2220777 / 9746745835","sales.pta@vw-evmcars.co.in"
"Volkswagen Patiala, Sirhind Road","Jhill, Near Sirhind Rajpura Byepass,  Sirhind Road,   Patiala","Patiala","Punjab","147001","9779240777 / 0175 3076666","salespat@vw-bhagat.co.in"
"Volkswagen Patna, Begampur","Near Patliputra Equipments JCB dealership Didarganj Check post Begampur,  NH # 30 Patna","Patna","Bihar","800009","7544010888","sales@vw-ashianamotors.co.in"
"Volkswagen Perumbavoor, Nangelippady","Building No.  404C,  M C Road,   Nangelippady, Pulluvazhy P. O.,  Perumbavoor","Perumbavoor","Kerala","683542","9995809764 / 0484 3302033","salesmanager.pbvr@vw-evmcars.co.in"
"Volkswagen Pimpri Chinchwadpp Sayaji Hotel","Survey No.142, Wakad,  Mumbai Bangalore Highway Opp Sayaji Hotel Pune","Pune","Maharashtra","411057","9881122544 / 020 66757501","vaijayanti.shewade@vw-bubhnadari.co.in"
"Volkswagen Pondicherry, Kamaraj Salai Thattanchavadi","No.90, Kamaraj Salai Thattanchavadi,  Pondichery","Puducherry","Tamil Nadu","605009","9940960314 / 0413 2245928 / 8220045235","saleshead@vw-starcars.co.in"
"Volkswagen Pune West, Pashan Road","A-3, Abhimanshree Society,  Pashan Rd.  Pune","Pune","Maharashtra","411008","9850057545 / 020 66858585","sales@vw-bubhandari.co.in"
"Volkswagen Pune, Shivaji Nagar","110/7-8pp. PMC Building Shivaji Nagar  Pune","Pune","Maharashtra","411005","9922990030 / 020 41424142","paresh.deshmane@vw-vidyutmotors.co.in"
"Volkswagen Raipur,Vardhaman Autowheels","In-Front of Rajkumar College , G.E. Road , Raipur, Chhattisgarh 492001","Raipur","Chhattisgarh","492001","6262064999","sales@vw-vapl.co.in"
"Volkswagen Rajdhani, New Delhi","C- 91/10, BLOCK – C, INDUSTRIAL AREA, WAZIRPUR","New Delhi","Delhi","110052","9540978654 / 9999856000","Gmsales.d@vw-liftech.co.in"
"Volkswagen Rajkot, Gondal Road","Gondal Road,  Gondal Ahmedabad Bye Pass Circle NH # 8B, Vavdi Rajkot","Rajkot","Gujarat","360004","9879005845 / 0281 6693333 / 0281 6693334","gaurav.p@vw-automark.co.in ;  marketing@vw-automark.co.in ; customerconnect@vw-automark.co.in ; anand.k@landmarkindia.net"
"Volkswagen Ranchi","Manirat motors pvt ltd. Plot no.759,Badira mansion,Deputy para,circuit house area jail more,karamtoli road opposite adivashi hostel","Ranchi","Jharkhand ","834001","0651 2360043 / 9570007300","sales.ranchi@vw-maniratmotors.co.in"
"Volkswagen Rewari, Delhi Road","147, Kila No 14,Delhi Road, Ganesh textile, Uttam Nagar, Delhi Road,    Rewari","Rewari","Haryana","123401","9315002007 / 01274 252004","sales@vw-mannumotors.co.in"
"Volkswagen Rohtak, Sonepat Road","Near CSD Canteen, Sonepat Road   Rohtak","Rohtak","Haryana","124001","8059880042 / 01262 257612 / 01262 257613","sales@vw-badhwarcars.co.in"
"Volkswagen Safdarjung","A2/6, SAFDARJUNG ENCLAVEPPO. BIKAJI CAMA PLACE, NEW DELHI-110029","New Delhi","Delhi","110029","8750041999 / 011 42422222","salesmanager@vw-frontier.com ; sales@vw-frontier.com"
"Volkswagen Salem, Omalur Main Road","Ramani Group Companies,  Plot No : 55 / 2B, 131 / 2 Omalur Main Road  Salem","Salem","Tamil Nadu","636004","9500989513 / 0427 2777700","Ilamparithi @vw-ramanicars.co.in"
"Volkswagen Sangli, Sangli Kolhapur Road","485, 3A/3B Sangli Kolhapur Road,  opposite Akashwani  Sangli","Sangli","Maharashtra","416416","8975769697 / 0233 2330088 / 0233 2330089","gmsales@vw-uniqueauto.co.in"
"Volkswagen Satara, Mhasve","S. No. 212, Hissa No 3 A/p. Mhasve, Pune Bangalore Road  Satara","Satara","Maharashtra","415002","8605017646 / 02162 245345","gmsales@vw-uniqueauto.co.in"
"Volkswagen Secunderabad","Plot no 56, Tilmulgherry, Near Tilmulgherry X Roads, Secunderabad","Hyderabad","Telangana","500015","040 40404023","Jagadishkoganti@ppsmotors.in"
"Volkswagen Sirsa, Maharaja Palace","Dabwali Roadpp. Maharaja Palace,   Sirsa","Sirsa","Haryana","125055","9253921095 / 01666 240266","vwsirsa@vw-smotors.co.in"
"Volkswagen Somajiguda","NO. 6-3-1090/C, Ground Floor, Raj Bhavan Road, Somajiguda, Hyderabad","Hyderabad","Telangana","500082","7207550001 / 7207650002","asm1somajiguda@vw-hyderabad.co.in"
"Volkswagen Surat, Devchand Nagar","Near Kargil Chowk, Surat Dumas Road, Piplod, Besides Vijay Sales,","Surat","Gujarat","395007","0261 2211011 / 0261 2211511","sales@vw-navjivan.co.in"
"Volkswagen Thane","Shop Noo 3 /4 , Cosmos Jewels , Adjacent To D Mart, Ghodbunder Road , Kasarwadavli , Thane West","Thane","Maharashtra","400615","8104383436","gm.thane@vw-modyautocorp.co.in"
"Volkswagen Thiruvalla, MC ROAD","BUILDING NO.190-F/X IZHINJILLAM,MC ROAD  Thiruvalla","Thiruvalla","Kerala","689107","9995812211 / 0469 2645800","sales.tvl@vw-evmcars.co.in"
"Volkswagen Thiruvananthapuram, Venpalavattam","NH Bye Pass  Venpalavattam, Anayava  Trivandrum","Thiruvananthapuram","Kerala","695029","9995812211 / 0471 3050505 / 9633122433","salesmanager@vw-evmcars.co.in"
"Volkswagen Thrissur, Mannuthy Bypass","12/493/1 NH-47 Mannuthy Bypass,Nadathara P.O    Thrissur","Thrissur","Kerala","680751","9526202001 / 0487 3300000","salesmanager.tcr@vw-phoenix.co.in"
"Volkswagen Tiruchirappalli, Dindigul Main Road","No.9, J.P. Nagar,  Dindigul Main Rd,   Trichy","Tiruchirappalli","Tamil Nadu","620001","9500707711 / 0431 4242222 / 8870488704","sathyan@vw-ramanicars.co.in"
"Volkswagen Tirunelveli, Chathram Village","S.F. No.551/1f, V.M. Chathram Village,  Palayamkottai,  Taluka,  Tirunelveli","Tirunelveli","Tamil Nadu","627011","8489955555 / 0462 3014000 / 8870388703","nambi@vw-ramanicars.co.in"
"Volkswagen Tirupati","D.No. 3/ B3, Auto Nagar, Renigunta Road, Near Park Hotel, District Chittoor, Tirupati","Tirupati","Andhra Pradesh","517501","7090000000","saleshead@vw-tirupati.co.in"
"Volkswagen Tirupur, Tirupur Main Road","4/ 286, Tirupur Main Rd., Anaipudur, Thirumurugan, Poondi Post,   Tirupur","Tiruppur","Tamil Nadu","641652","9500989514 / 04296 270222","vijayakumark@vw-ramanicars.co.in"
"Volkswagen Tumkur","Sy. No 297/2, Bhavikatte Arcade, Next to Bhavikatte Kalyana Mantapa, Sira Main Road","Tumakuru","Karnataka","572106","9100666030","pradeep.kumar@vw-ppsmotors.co.in"
"Volkswagen Udaipur, Mewar Industrial area","A-83, Mewar Industrial area (M.I.A),    Udaipur","Udaipur","Rajasthan","313002","9414059389 / 0294 3002777","sm@vw-rajeshmotorcars.co.in"
"Volkswagen Udupi, Kalsank Road","NH#66, Kalsank Road Junction,  Ambigilu,   Udupi","Udupi","Karnataka","","9845502727 / 9845502727","sandesh.shenoy@vw-bharath.co.in"
"Volkswagen Vadodara, Chhani Road","Amin Estate Nr. Surendra Nursery Chhani Road Vadodara","Vadodara","Gujarat","390002","9687671642 / 0265 6191900","jayesh@vw-automark.co.in ;  marketing@vw-automark.co.in ; customerconnect@vw-automark.co.in ; anand.k@landmarkindia.net"
"Volkswagen Vapi, Charwada road","Plot CM 8/20 Status complex Charwada road National Highway No. 8 Vapi","Vapi","Gujarat","396195","9925027682 / 0260 6630314","vapi@vw-automark.co.in ;  marketing@vw-automark.co.in ; customerconnect@vw-automark.co.in ; anand.k@landmarkindia.net"
"Volkswagen Varanasi, Airport Road","Plot number 109/2 and 109/3 , Airport Road,  Mauza Koirazpur, Pargana, Athgawan,  Tehsil – Pindra, Varanasi","Varanasi ","Uttar Pradesh","221015","8756399801 / 0542 2624033","sales.manager@vw-varanasicars.co.in"
"Volkswagen Vellore, New by Pass Road","Susee Cars Pvt. Ltd. 141, New by Pass Road.    Vellore","Vellore","Tamil Nadu","632012","9344721673 / 0416 2213373 / 0416 2213383 / 9344721770","sm@vw-suseemotors.co.in"
"Volkswagen Vijayawada, Gunadala","48-10-22/ A ~ F NH #5, Gunadala,   Vijayawada","Vijayawada","Andhra Pradesh","520004","8297032222 / 0866 2454522 / 0866 2454523 / 0866 2454524","sm.vij@vw-lmautocars.co.in"
"Volkswagen Visakhapatnam, Near R&B Guest House","Show  Room.No.3, Ground Floor, KSR Prime, Near R&B Guest House,   Visakhapatnam","Visakhapatnam","Andhra Pradesh","530018","7799771500 / 9642165000","Salesmgr.vizag@vw-modyautocorp.co.in"
"Volkswagen Whitefielduter Ring Road","outer Ring Road  102/1, Shanthakumar Layout  B.Narayanpura Bangalore","Bengaluru","Karnataka","560016","9900010728 / 9900021210 ","gmsales@vw-appleauto.co.in "
"Volkswagen Yamunanagar, Jagadhari Road","Agrasen Chowkpp. Gupta Palace,  Jagadhari Road,   Yamunanagar","Yamuna Nagar","Haryana","135003","9017100011 / 01732 229222","sales@vw-punjabvelocity.co.in"
