"Dealer Name","Type","Address","City","State","Pincode","Contact","Email"
"Sai Motor Plaza","Dealer","D.NO 70-1-171, OPP SPENCERS PLAZA,, PITHAPURAM ROAD, NEAR SARPAVARAM JUNCTION","Kakinada","Andhra Pradesh","533005","91 884 237 4489","d12398@baldealer.com"
"Varun Motors","Dealer","D. NO. 2-25-6, BESIDE IOC PETROL BUNK,, UNDI ROAD,","Bhimavaram","Andhra Pradesh","534202","91 8816 226 422","d12413@baldealer.com"
"Varun Motors","Dealer","#38-8-28,, OPP ALL INDIA RADIO, M.G. ROAD","Vijaywada","Andhra Pradesh","520010","91 78880 94948 - 78880 95955","d12440@baldealer.com"
"Varun Motors","Dealer","D.NO 124, PANCHAVATI COLONY,, NEW BYE PASS ROAD,","Gudiwada","Andhra Pradesh","521301","91 86742 47285","d12440@baldealer.com"
"Prince Hardware","Dealer","BABULANE, ABERDEEN BAZAAR,, ","Port Blair","Andman & Nikobar","744101","91 3192 240 029","d12388@baldealer.com"
"Doimukh Trading Centre","Dealer","OPP. NIRJULI POLICE STATION,  NH 52 A, AT & PO. NIRJULI,","Itanagar","Arunnchal Pradesh","791109","91 360 2257232, 91 9402809163","d12117@baldealer.com"
"Jubi  Ktm","Dealer","OPP. 2ND LINK ROAD POINT,, SONAI ROAD,","Silchar","Assam","788006","91 3842 225 167","d12143@baldealer.com"
"Global Enterprises","Dealer","NT ROAD, KETEKIBARI, ","Tezpur","Assam","784001","91 3712 255 552, 97060 83398","d12096@baldealer.com"
"Global Enterprises","Dealer","DIMORUGURI,, AT ROAD,","Nagaon","Assam","782003","91 70025 22815","d12096@baldealer.com"
"Olive Auto","Dealer","A.T. ROAD, NH-37, HIJUGURI, NEAR BORAH HYUNDAI,, DISTT. TINSUKIA","Tinsukia","Assam","786125","91 374 2315426","d12174@baldealer.com"
"Highway Bajaj","Dealer","A.T. ROAD, TARAJAN,, ","Jorhat","Assam","785001","91 376 2372315 - 2371632","d12426@baldealer.com"
"Highway Bajaj","Dealer","KARENG TIN ALI,, JOYSAGAR,","Sivasagar","Assam","785665","91 8876253580 - 98590 56942","d12426@baldealer.com"
"Highway Bajaj","Dealer","BENGENAKHUWA CHARI ALI,, ARENGAPARA ROAD,","Golaghat","Assam","785621","91 9859056942 - 7578009216","d12426@baldealer.com"
"Olive Auto","Dealer","KUMARANICHIGA,, OPPOSITE TATA COMMERCIAL","Dibruragh","Assam","786004","91 99547 81950","d12996@baldealer.com"
"Anirbaan Enterprise","Dealer","MAIN ROAD,, P.O-SIMLAGURI, NEAR BAZAR INDIA","Barpeta","Assam","781313","91 86383 74583","d13012@baldealer.com"
"Donyi Polo Holdings","Dealer","GROUND FLOOR, HARISH RESIDENCY,, JAYANAGAR ROAD, BELTOLA KHANPARA,","Guwahati","Assam","781022","91  97074 55550","d12577@baldealer.com"
"Shree Automobiles Pvt. Ltd.","Dealer","MRD ROAD,, CHANDMARI","Guwahati","Assam","781003","91 8876041991","d12364@baldealer.com"
"MALIGAON KTM","Branch","AXIS BANK BUILDING, , MALIGAON OVER BRIDGE, MALIGAON, , ","Guwahati","Assam","781001","+91 99540 27599 - 98640 27599","d12364@baldealer.com"
"Shree Automobiles Pvt. Ltd.","Dealer","AXIS BANK BUILDING,, MALIGAON OVER BRIDGE, MALIGAON","Guwahati","Assam","781001","91 99540 27599 - 98640 27599","d12364@baldealer.com"
"MALIGAON KTM","Branch","AXIS BANK BUILDING, , MALIGAON OVER BRIDGE, MALIGAON, , ","Guwahati","Assam","781001","+91 99540 27599 - 98640 27599","d12364@baldealer.com"
"Champak Bajaj","Dealer","MAIN ROAD, NEAR BARABAZAR","Bongaigaon","Assam","","91  9435020672","d12764@baldealer.com"
"Lakhimpur Tyres","Dealer","TOWN BANTOW, WARD NO 14 ,, N.T ROAD ,","North Lakhimpur","Assam","787001","91 9957636160","d12526@baldealer.com"
"Tirhut Automobiles","Dealer","NEAR POWER HOUSE CHOWK,, MARIPUR","Muzaffarpur","Bihar","842001","91 621 224 2180","d12365@baldealer.com"
"Sadhana Auto Agencies Pvt. Ltd.","Dealer","MAHADEVA MISSION COMPOUND,, ","Siwan","Bihar","841226","91 6154 243 156","d12456@baldealer.com"
"Jai Bajrang Bajaj","Dealer","CIRCUIT HOUSE ROAD,, PAKRI","Arrah","Bihar","","91  6182 234421","d12654@baldealer.com"
"Jagat Automobiles","Dealer","BANJARIYA PANDAL CHOWK, MOTIHARI","Motihari","Bihar","845401","91  77810 06985","d12651@baldealer.com"
"Paradise Automobiles","Dealer","NEAR DUMRAIL BY-PASS ROAD,, N.H.-107","Saharsa","Bihar","852201","91 7280081504","d13011@baldealer.com"
"Excel Auto","Dealer","UNDER RUPASPUR FLYOVER,, RUPASPUR, BAILEY ROAD","Patna","Bihar","800014","91 92343 68904","d12410@baldealer.com"
"KANKARBAGH KTM","Branch","INFRONT OF KUMHRAR PARK, OLD BYE PASS , KANKARBAGH, , ","Patna","Bihar","800026","+91 73699 46352","d12410@baldealer.com"
"Excel Auto","Dealer","INFRONT OF KUMHRAR PARK, OLD BYE PASS, KANKARBAGH","Patna","Bihar","800026","91 73699 46352","d12410@baldealer.com"
"KANKARBAGH KTM","Branch","INFRONT OF KUMHRAR PARK, OLD BYE PASS , KANKARBAGH, , ","Patna","Bihar","800026","+91 73699 46352","d12410@baldealer.com"
"Akarsh Auto Pvt. Ltd.","Dealer","BETWEEN 70 FEET & SIPARA PULL,, ANISABAD BY-PASS ROAD,","Patna","Bihar","800001","91 612 322 5666","d12425@baldealer.com"
"Shree Bajaj","Dealer","OPP. HOLY CROSS SCHOOL,, DONAR ROAD,","Darbhanga","Bihar","846004","91 75448 80026","d12387@baldealer.com"
"Akarsh Auto Pvt. Ltd.","Dealer","OPPOSITE BRB COLLEGE, MOHANPUR ROAD","Samastipur","Bihar","848101","91 84097 85567","d12425@baldealer.com"
"Pooja Automobiles","Dealer","GAURAKSHNI, NEAR DURGA MANDIR, ARA  PATNA MAIN ROAD, DISTT. ROHTAS","Sasaram","Bihar","821115","91 70500 94904","d12941@baldealer.com"
"Mahaveer Automobiles","Dealer","MAHAVEER COMPLEX, NEAR FORD COMPANY , NH -31, -","Purnea","Bihar","845301","91 6454 240221","d12942@baldealer.com"
"Rajendra Automobiles","Dealer","MS RAJENDRA AUTOMOBILES BATA MORE, S P ROAD WARD NO 18 HOUSE NO 448","Gaya","Bihar","823001","91 099316 91381","d12923@baldealer.com"
"Golu Automobiles","Dealer","NH-31, OPP. AMARDEEP CINEMA HALL, ","Begusarai","Bihar","851101","91 7709597157, 6243-241552","d12892@baldealer.com"
"Shail Kamal Tractors","Dealer","SHANTI NAGAR,, DUMRA ROAD","Sitamarhi","Bihar","843001","91 62057 52882","d12987@baldealer.com"
"Vaishali Electro India","Dealer","SHARMA HOUSE, RAMASHISH CHOWK,, NEAR GOLAMBER,","Hajipur, Vaishali","Bihar","844101","91 6224 277138","d12980@baldealer.com"
"Suraj Automobiles","Dealer","AT.  DAUDBAT PO. HABIBPUR, SAHJADPUR, AMARPUR ROAD,","Bhagalpur","Bihar","812005","91 95726 58185","d12291@baldealer.com"
"Shree Motors","Dealer","SCO 22-23, SEC 8C, MADHYA MARG","Chandigarh","Chandigarh","160009","91 78880 96967 - 78880 96968","d12813@baldealer.com"
"Tripur Bajaj","Dealer","NEAR TIFRA RAILWAY OVER-BRIDGE, RAIPUR ROAD,","Bilaspur","Chhattisgarh","495004","91 7752 429444","d12322@baldealer.com"
"Mahavir Automobiles","Dealer","NEAR FOREST NAKA,, ADAWAL,","Jagdalpur","Chhattisgarh","494001","91 82239 66000","d12530@baldealer.com"
"Vandana Auto","Dealer","VANDNA HOUSE, RAMKUND, G.E. ROAD","Raipur","Chhattisgarh","492001","91 771 408 3942","d12366@baldealer.com"
"Akashaya Automobiles","Dealer","NEAR RAILWAY CROSSING, TELIBANDHA CHOWK,, TELIBANDHA","Raipur","Chhattisgarh","492001","91  77149 16464","d12731@baldealer.com"
"Shastri Auto","Dealer","M.G ROAD,SURGUJA, BESIDES TATA MOTORS, AMBIKAPUR","Ambikapur","Chhattisgarh","497001","91 62610 42124","d12861@baldealer.com"
"Ag Corporation","Dealer","PLOT NO. 144, VIJAY TALKIES ROAD, TRANSPORT NAGAR","Korba","Chhattisgarh","495678","91 8770192559","d12984@baldealer.com"
"Kataria Motors","Dealer","PLOT NO.22, OPPOSITE HDFC BANK,, KRISHNA TALKIES ROAD, RISALI,","Bhilai","Chhattisgarh","490006","91 788 227 9996","d12631@baldealer.com"
"Shreshth Auto Center","Dealer","SIDDI VINAYAK COLONY,, INDRA NAGAR","Raigarh","Chhattisgarh","","91 90099 30000","d12857@baldealer.com"
"Bagga Link Service Ltd.","Dealer","KLJ COMPLEX,, NAZAFGARH ROAD,, MOTI NAGAR","Delhi","Delhi","110015","91 11 4798 0011","d12389@baldealer.com"
"DELHI NORTH KTM","Branch","A-1 GROUD FLOOR, MAHENDRU ENCLAVE,, GT KARNAL ROAD, , , ","Delhi","Delhi","110033","+91 11 4370 9570","d12389@baldealer.com"
"Js Automobiles  - Narela","Dealer","429 SAFIABAD ROAD,, NARELA,","Delhi","Delhi","110040","91 11 27280132 - 98999 92903","d12379@baldealer.com"
"Rajiv Automobiles","Dealer","184, RADHE PURI EXTENSION,, MAIN JAGAT PURI ROAD,","Delhi","Delhi","110051","91 88009 02222","d12345@baldealer.com"
"DILSHAD GARDEN KTM","Branch","A1 JHILMIL INDUSTRIAL AREA, MAIN GT ROAD, EAST DELHI, , ","Delhi","Delhi","110095","+91 98184 42222","d12345@baldealer.com"
"Bagga Link Service Ltd.","Dealer","L1, GROUND FLOOR,, PLOT NO 3 & 4, OUTERWING,","Delhi","Delhi","141003","91 78880 86864 - 78880 86865","d12389@baldealer.com"
"DELHI NORTH KTM","Branch","A-1 GROUD FLOOR, MAHENDRU ENCLAVE,, GT KARNAL ROAD, , , ","Delhi","Delhi","110033","+91 11 4370 9570","d12389@baldealer.com"
"Bagga Link Service Ltd.","Dealer","A-1 GROUD FLOOR, MAHENDRU ENCLAVE,, GT KARNAL ROAD,","Delhi","Delhi","110033","91 11 4370 9570","d12389@baldealer.com"
"DELHI NORTH KTM","Branch","A-1 GROUD FLOOR, MAHENDRU ENCLAVE,, GT KARNAL ROAD, , , ","Delhi","Delhi","110033","+91 11 4370 9570","d12389@baldealer.com"
"Bagga Link Service Ltd.","Dealer","36, COMMUNITY CENTRE, NEAR PVR CINEMA, VASANT LOK,, VASANT VIHAR,","Delhi","Delhi","","91 78880 86866 - 78880 86869","d12389@baldealer.com"
"DELHI NORTH KTM","Branch","A-1 GROUD FLOOR, MAHENDRU ENCLAVE,, GT KARNAL ROAD, , , ","Delhi","Delhi","110033","+91 11 4370 9570","d12389@baldealer.com"
"Grd Trucks Pvt. Limited","Dealer","K-18A2, ROAD NUMBER -201,, MAIN RAJAPURI ROAD,","Delhi","Delhi","100059","91 11 4704 2723, 11 6580 2333","d12263@baldealer.com"
"Dewan Auto","Dealer","K - 96, CENTRAL MARKET,, LAJPAT NAGAR-II","Delhi","Delhi","110024","91 11 2983 0002, 11 2983 0003, 95600 92928","d12332@baldealer.com"
"Rajiv Automobiles","Dealer","A1 JHILMIL INDUSTRIAL AREA, MAIN GT ROAD, EAST DELHI","New Delhi","Delhi","110095","91 98184 42222","d12345@baldealer.com"
"DILSHAD GARDEN KTM","Branch","A1 JHILMIL INDUSTRIAL AREA, MAIN GT ROAD, EAST DELHI, , ","New Delhi","Delhi","110095","+91 98184 42222","d12345@baldealer.com"
"Crystal Trade Links","Dealer","SHOP 1&2, GOLDEN NEST OPP. VISION HOSPITAL,  DULER,, MAPUSA, BARDEZ,","Goa","Goa","403507","91 83800 00390 -  73500 00390","d12466@baldealer.com"
"PORVORIM KTM","Branch","VAZE HEIGHTS, OPP. P.M.C BANK, NH 17 HIGHWAY, PORVORIM BARDEZ, , ","Goa","Goa","403521","+91 77093 13347","d12466@baldealer.com"
"Crystal Trade Links","Dealer","VAZE HEIGHTS, OPP. P.M.C BANK, NH 17 HIGHWAY, PORVORIM BARDEZ","Goa","Goa","403521","91 77093 13347","d12466@baldealer.com"
"PORVORIM KTM","Branch","VAZE HEIGHTS, OPP. P.M.C BANK, NH 17 HIGHWAY, PORVORIM BARDEZ, , ","Goa","Goa","403521","+91 77093 13347","d12466@baldealer.com"
"Sitara Motors Pvt.Ltd","Dealer","SHOP NO. 6, GF,  BLOCK 2, CROSS ROAD AVENUE,, EASTERN EXPRESS BYEPASS, ARLEM FATORDA, MARGAO,","Goa","Goa","433720","91 93263 88672","d12357@baldealer.com"
"Ram Auto","Dealer","B-02, SURVEY NO. 51, NEAR NADIDA CHOKDI,, NEXT TO TATA SHOWROOM, BARDOLI - SURAT ROAD","Ta - Bardoli , Dist - Surat,","Gujarat","394601","91 8238755755","d12934@baldealer.com"
"Pride Automobiles","Dealer","G-1, G-2 SWAGAT RAINFOREST II,, GANDHINAGAR - KOBA ROAD,  KUDASAN,","Gandhinagar","Gujarat","382421","91 98984 66222","d12883@baldealer.com"
"Mahalaxmi Motors","Dealer","OPP. P.G. GARDEN, GRID ROAD, KABILPORE,, NAVSARI, GUJARAT","Navsari","Gujarat","396418","91 72278 87882","d12921@baldealer.com"
"Pride Automobiles","Dealer","11-12, MEERA COMPLEX,, NAGALPUR,","Mehsana","Gujarat","384002","91 90335 41114","d12168@baldealer.com"
"Nis Auto","Dealer","G-1, RAGHUVIR BUSINESS PARK,, UNIVERSITY ROAD, VESU,","Surat","Gujarat","395007","91 261 656 7676","d12160@baldealer.com"
"VARACHHA KTM","Branch","G-2/3, Y JUNCTION, NEXT TO NAVJIVAN HOTEL, , VARACHHA MAIN ROAD, SARTHANA , , ","Surat","Gujarat","","+91  261 654 7676","d12160@baldealer.com"
"Nis Auto","Dealer","G-23, Y JUNCTION, NEXT TO NAVJIVAN HOTEL,, VARACHHA MAIN ROAD, SARTHANA","Surat","Gujarat","","91  261 654 7676","d12160@baldealer.com"
"VARACHHA KTM","Branch","G-2/3, Y JUNCTION, NEXT TO NAVJIVAN HOTEL, , VARACHHA MAIN ROAD, SARTHANA , , ","Surat","Gujarat","","+91  261 654 7676","d12160@baldealer.com"
"Gujarat Motors Pvt Ltd","Dealer","G7 TRINITY BUSINESS PARK, MADHUVAN CIRCLE,, L P SAVANI ROAD, BESIDE DOMINOS ADAJAN,","Surat","Gujarat","395009","91 261  6555610","d12397@baldealer.com"
"Amin Automobiles","Dealer","NEAR OLD RUPLAI CINEMA,, NEHRU BRIDGE, LAL DARWAJA","Ahmedabad","Gujarat","380001","91 79 4040 3344","d12315@baldealer.com"
"Gallops Automobiles Pvt Ltd","Dealer","PUSHPAK COMPLEX, OPP SHITIRATNA COMPLEX,, NEAR PANCHVATI CIRCLE, OFF C.G.ROAD,","Ahmedabad","Gujarat","380009","91 79 66051711","d12437@baldealer.com"
"CHANDKHEDA KTM","Branch","11, MANMOHAN PARK SOCIETY.,,  NEAR SHARDA PETROL PUMP HIGHWAY ROAD, CHANDKHEDA, , ","Ahmedabad","Gujarat","382424","9978940568","d12437@baldealer.com"
"MANINAGAR KTM","Branch","NATKAMAL COMPLEX, NR SHELL PETROL PUMP, , HIRABHAI TOWER ROAD, JAWAHAR CHOWK, MANINAGAR. , , ","Ahmedabad","Gujarat","380008","+91  89800 01717","d12437@baldealer.com"
"Gallops Automobiles Pvt Ltd","Dealer","GROUND FLOOR, ASTRON SQUARE,  OPP. ISKON TEMPLE,, ISCON CROSS ROAD, SG HIGHWAY","Ahmedabad","Gujarat","380054","91 89056 41733","d12437@baldealer.com"
"CHANDKHEDA KTM","Branch","11, MANMOHAN PARK SOCIETY.,,  NEAR SHARDA PETROL PUMP HIGHWAY ROAD, CHANDKHEDA, , ","Ahmedabad","Gujarat","382424","9978940568","d12437@baldealer.com"
"MANINAGAR KTM","Branch","NATKAMAL COMPLEX, NR SHELL PETROL PUMP, , HIRABHAI TOWER ROAD, JAWAHAR CHOWK, MANINAGAR. , , ","Ahmedabad","Gujarat","380008","+91  89800 01717","d12437@baldealer.com"
"Gallops Automobiles Pvt Ltd","Dealer","11, MANMOHAN PARK SOCIETY.,, NEAR SHARDA PETROL PUMP HIGHWAY ROAD, CHANDKHEDA","Ahmedabad","Gujarat","382424","9978940568","d12437@baldealer.com"
"CHANDKHEDA KTM","Branch","11, MANMOHAN PARK SOCIETY.,,  NEAR SHARDA PETROL PUMP HIGHWAY ROAD, CHANDKHEDA, , ","Ahmedabad","Gujarat","382424","9978940568","d12437@baldealer.com"
"MANINAGAR KTM","Branch","NATKAMAL COMPLEX, NR SHELL PETROL PUMP, , HIRABHAI TOWER ROAD, JAWAHAR CHOWK, MANINAGAR. , , ","Ahmedabad","Gujarat","380008","+91  89800 01717","d12437@baldealer.com"
"Gallops Automobiles Pvt Ltd","Dealer","NATKAMAL COMPLEX, NR SHELL PETROL PUMP,, HIRABHAI TOWER ROAD, JAWAHAR CHOWK, MANINAGAR.","Ahmedabad","Gujarat","380008","91  89800 01717","d12437@baldealer.com"
"CHANDKHEDA KTM","Branch","11, MANMOHAN PARK SOCIETY.,,  NEAR SHARDA PETROL PUMP HIGHWAY ROAD, CHANDKHEDA, , ","Ahmedabad","Gujarat","382424","9978940568","d12437@baldealer.com"
"MANINAGAR KTM","Branch","NATKAMAL COMPLEX, NR SHELL PETROL PUMP, , HIRABHAI TOWER ROAD, JAWAHAR CHOWK, MANINAGAR. , , ","Ahmedabad","Gujarat","380008","+91  89800 01717","d12437@baldealer.com"
"Sakal Auto","Dealer","SHOP. NO. 19, 20 MAPLE CRYSTAL COMPLEX, NEAR  SAHKARI JIN ROAD. NH - 8,","Himmatnagar","Gujarat","383001","91  9909022793 - 7573916883","d12606@baldealer.com"
"Kartavya Auto","Dealer","VIKAS SHOPPING CENTER,, NEAR CERCUIT HOUSE, MAHENDRA NAGAR RAOD","Morbi","Gujarat","363642","91 2822 242365 87802 03793","d12998@baldealer.com"
"Platinum Motors","Dealer","C-17 & B-18, M.P. SHAH INDUSTRIAL ESTATE,, SARU SECTION ROAD,","Jamnagar","Gujarat","361006","91 288 266 6636","d13008@baldealer.com"
"A.S.Motors","Dealer","5, RAJPATH SOCIETY,, OLD PADRA ROAD,","Baroda","Gujarat","390007","91 78880 96963 - 78880 96964","d12441@baldealer.com"
"A.S.Motors","Dealer","J. K. AVENUE, D-15 - TASHKAND SOCIETY, OPP. AXIS BANK,, NEW CHHANI ROAD, NIZAMPURA","Baroda","Gujarat","390002","91 99982 22551","d12441@baldealer.com"
"A.S.Motors","Dealer","VAVDI ROAD, NEAR NISSAN SHOWROOM, GODHRA  DAHOD HIGHWAY","Godhra","Gujarat","389001","91 99989 02222","d12441@baldealer.com"
"Aakar Motors","Dealer","SHOP NO. 37, TIRUPATI PLAZA, DHARMAPUR CHAR RASTA","Valsad","Gujarat","396001","97143 23001","d12336@baldealer.com"
"Aakar Motors","Dealer","PLOT NO CM - 817, NH NO. 08, GIDC, ","Vapi","Gujarat","396195","91 260 2425 777","d12336@baldealer.com"
"Mark Automotives","Dealer","TILARA's CORPORATE HOUSE, SURYODAY SOCIETY,, AMIN MARG, NEAR 150 FEET RING ROAD,","Rajkot","Gujarat","360002","91  89808 02060","d12677@baldealer.com"
"Lords Grand","Dealer","CHHA ROAD, NEAR CHHAYA CHOWKI ,, OPP. JALARAM MASALA MILL,","Porbandar","Gujarat","360575","91  94094 32619","d12660@baldealer.com"
"Na Autolink","Dealer","6768 DC  3, BEHIND ADIPUR POLICE STATION","Gandhidham","Gujarat","370205","91  98256 27374","d12649@baldealer.com"
"Na Autolink","Dealer","64, ADM SPACE 1,, MADHAPUR HIGHWAY","Bhuj","Gujarat","370001","91 90333 43601 - 63548 88912","d12649@baldealer.com"
"Mahesh Sales Corp","Dealer","DEESA HIGHWAY, ","Palanpur","Gujarat","385001","91 2742 252726","d12373@baldealer.com"
"Kena Auto","Dealer","NIRAV HERITAGE, NEAR ONGC COLONY GATE,, GADAKHOL ROAD,","Ankleshwar","Gujarat","393001","91 75748 20075","d12824@baldealer.com"
"Baba Motors","Dealer","NH 10, DELHI ROHTAK ROAD, OPPOSITE D MARKET,, VILL. & PO. SAKHOL","Bahadurgarh","Haryana","124507","91 1276 606160 - 9215455506","d12409@baldealer.com"
"Yash Concrete Co","Dealer","AMBALA ROAD,, ","Kaithal","Haryana","136027","91 99920 11108","d12652@baldealer.com"
"Universal Automotives Pvt. Ltd.","Dealer","NAHARPUR RUPA , RAJEEV COLONY , NEAR RAJEEV CHOWK,, OPP. NEXA SHOWROOM , NH-48, DELHI  JAIPUR EXPRESSWAY","Gurgaon","Haryana","122001","91 124 220 2064 - 220 1064, 98181 62064, 99101 62064,","d12264@baldealer.com"
"Universal Automotives Pvt. Ltd.","Dealer","SHOP NO  G3 & G4, ABW TOWER, M.G.ROAD, IFFCO CHOWK","Gurgaon","Haryana","122002","91 78880 87872, 78880 87873","d12264@baldealer.com"
"Universal Automotives Pvt. Ltd.","Dealer","OPPOSITE KLP COLLEGE,, DELHI ROAD,","Rewari","Haryana","123401","91 70117 24595","d12264@baldealer.com"
"Grd Trucks Pvt. Limited","Dealer","5B7, B.P., RAILWAY ROAD,, NIT","Faridabad","Haryana","121001","91 97160 03009","d12603@baldealer.com"
"Grd Trucks Pvt. Limited","Dealer","SHERAWAT BHAWAN, ADARSH COLONY,, OPP. SARASWATI COLLEGE, NH - 2,","Palwal","Haryana","121102","91 2175 259 188","d12603@baldealer.com"
"Hi-Tech Auto Mobiles","Dealer","D.S.S. 105 SECTOR - 13, MARKET,, ","Hissar","Haryana","125001","91 94163 91550","d12146@baldealer.com"
"J S Automobiles","Dealer","PLOT NO. 7, NEAR NAMASTEY CHOWK, OLD GT ROAD,","Karnal","Haryana","132001","91 97110 10916","d12251@baldealer.com"
"J S Automobiles","Dealer","NATIONAL HIGHWAY 1,, NEAR BAJAJ SHOWROOM,","Panipat","Haryana","132103","91 98131 10916","d12251@baldealer.com"
"Hi-Tech Auto Mobiles","Dealer","SONIPAT ROAD,, RAM GOPAL COLONY","Rohtak","Haryana","124001","91 1262 273550","d12146@baldealer.com"
"Nitesh Automobiles","Dealer","GT ROAD, NEAR MILK PLANT,, AMBALA CITY,","Ambala","Haryana","134001","91 171 2540803","d11918@baldealer.com"
"Global Motors","Dealer","NH 21,, VPO - GUTKAR","Mandi","Himachal Pradesh","175021","91 1905 246347","d11676@baldealer.com"
"Global Motors","Dealer","V & PO. VASHIST,, TEHSIL. MANALI","Manali","Himachal Pradesh","175131","98160 65771","d11676@baldealer.com"
"Sangam Auto Sales","Dealer","NH - 20, V & PO. KACHHIARI, VILL & POST. KACHHARI, TEH. & DISTT. KANGRA","Palampur","Himachal Pradesh","176001","91 92184 64372","d12358@baldealer.com"
"Sangam Auto Sales","Dealer","PATHANKOT  MANALI HIGHWAY,, ","Jassur","Himachal Pradesh","176201","91 94189 84888","d12358@baldealer.com"
"Sangam Auto Sales","Dealer","VILL. MALURA BATHARI,, TAHSIL - BANIKHET","Banikhet","Himachal Pradesh","176306","91 75900 05151","d12358@baldealer.com"
"Jaryal Automobiles","Dealer","BYE PASS, HAMIRPUR SHIMLA - KANGRA HIGHWAY, ","Hamirpur","Himachal Pradesh","177001","91 94180 75588","d12570@baldealer.com"
"S B Automobiles","Dealer","NEAR MOHAN PARK OR MEZWAN HOTEL,, CHAMBAGHAT, SOLAN - 173 213 (HIMACHAL PRADESH)","Solan","Himachal Pradesh","173213","91  98164 94486","d12816@baldealer.com"
"Kashmir Auto Aids","Dealer","SHOP NO 574, SECTOR - C EXTENSION,, SAINIK COLONY (NEXT TO NISHAN SHOWROOM)","Jammu","Jammu & Kashmir","180006","91 191 2469862, 91 191 2469863","d11842@baldealer.com"
"Kashmir Auto Aids","Dealer","MH ROAD,, ","Udhampur","Jammu & Kashmir","182101","91 94842 99999","d11842@baldealer.com"
