"Dealer Name","Address","City","State","Contact"
"BLC Autosales Pvt Ltd","Plot No 24, Industrial Area, Delhi Hisar Bypass Road, Hisar - 125001","Hisar","Haryana","+919053047004"
"Sidak Automobiles Pvt Ltd","No 71/3, GT Road, Karnal - 132001","Karnal","Haryana","+919896660006"
"Dev Bhoomi Motors Pvt Ltd","Ground Floor, NH 21, Gutkar, Mandi - 175021","Mandi","Himachal Pradesh","+918894729119"
"Wheelocity Motors Pvt Ltd","Ground Floor, By Pass Road, NH 1A, Sunjwan, Jammu - 180015","Jammu","Jammu & Kashmir","+919086166666"
"Imperial Vehicles Pvt Ltd","No 1P, RIT More, Adityapur, Jamshedpur - 832109","Jamshedpur","Jharkhand","18002094646"
"Tafe Access ltd","No 53, St Marks Road, Bengaluru - 560001","Bengaluru","Karnataka","+919901953006"
"Tafe Access ltd","No 576/B, Teachers Colony, HSR Layout, Bengaluru - 560102","Bengaluru","Karnataka","+919845776777"
"Priti Cars pvt ltd","No 498/17, PB Road, Bhairidevarkoppa, Dharward - 580031","Dharward","Karnataka","+919686205094"
"Tafe Access ltd","Deogratias Building, Dakshina Kannada, Urva Chilimbi, Mangaluru - 575006","Mangaluru","Karnataka","+918244251634"
"Sagar Autotech pvt ltd","No 1127/4, Mananthavadi Road, Mysore - 570008","Mysore","Karnataka","+917574801111"
"EVM Motors & Vehicles India Pvt Ltd","Building No 15/425A, Choornikkara, Aluva, Muttom, Ernakulam - 683106","Ernakulam","Kerala","+917306500040"
"Malayalam Motors Pvt Ltd","Door No 1/53 D, Vadakeparambil Arcade, Kanakari, Ettumanoor, Kottayam - 686632","Kottayam","Kerala","+917909257055"
"Pinnacle Vehicles and Services Pvt Ltd","No 14/15 BCD, VPEES Plaza, Pavangad, NH 17, Kannur Road, Kozhikode - 673021","Kozhikode","Kerala","+918111902000"
"Malayalam Motors Pvt Ltd","Sy No 689/1/1 to 3, NH 66, Enghakkal Road, Chakkai, Pettah, Thiruvananthapuram - 695024","Thiruvananthapuram","Kerala","+917025155550"
"Pinnacle Vehicles & Services Pvt Ltd","Ground Floor, NH 47, Kuttanellur, Thrissur - 680014","Thrissur","Kerala","+918111966000"
"Sagar Autotech Pvt Ltd","No 189, Maida Mill Road, Jinsi, Bhopal - 462008","Bhopal","Madhya Pradesh","+919752415749"
"Sagar Autotech pvt ltd","Kh No 325, No 428/325/1, 327/3, Hoshangabad Main Rd, Bawadia Kalan, Huzur, Bhopal - 462026","Bhopal","Madhya Pradesh","+917574801111"
"Satguru Motors","No 7/4, Dewas Naka, Lasudia Mori, Indore - 452001","Indore","Madhya Pradesh","+917771010424"
"Sagar Autotech Jabalpur pvt ltd","Ground Floor, Katni Bypass Road, Jabalpur - 482001","Jabalpur","Madhya Pradesh","+919752415749"
"Sarra Motors pvt ltd","P 72/1, MIDC, Jalna Road, Chikalthana, Aurangabad - 431210","Aurangabad","Maharashtra","+917574089899"
"Shrine Auto pvt ltd","No 22/22, Mehernaz, E Ward, Tarabai Park, Kolhapur - 416003","Kolhapur","Maharashtra","+917574886660"
"Autobahn Enterprises pvt ltd","Marathe Udyog Bhavan, Appa Saheb Marathe Marg, Prabhadevi, Mumbai - 400025","Mumbai","Maharashtra","+919833198331"
"Autobahn Enterprises pvt ltd","Unit 4, De Mall, Veera Desai Road, Andheri, Mumbai - 400053","Mumbai","Maharashtra","+919833198331"
"JMD Auto pvt ltd","No 471 A, 1st Floor, KK Square, Cardinal Gracious Rd, Chakala Jn, Andheri, Mumbai - 400099","Mumbai","Maharashtra","+912225395900"
"JMD Auto pvt ltd","Showroom No 5 & 6, Prithvi Park, PN 4, 8, 9 & 10, Sanpada, Sector 30, Mumbai - 400705","Mumbai","Maharashtra","+912227755900"
"Navnit Cars pvt ltd","Plot D3, MIDC, Hingna, Nagpur - 440023","Nagpur","Maharashtra","+919370025652"
"Heak Auto pvt ltd","No 882/1A /4, Plot No 4, Rajendra Nagar, Nashik - 422009","Nashik","Maharashtra","+917874556666"
"Garve","No 805, The Reverie, FL 1 PL 143 & 186, Bhandarkar Road, Pune - 411004","Pune","Maharashtra","+918669900900"
"AKOYA Motors Pvt Ltd","SR No 98/2, Mumbai Bangalore Highway, Baner, Pune - 411045","Pune","Maharashtra","+917499914415"
"JMD Auto pvt ltd","S No 7 & 8, Ground Floor, Dev Corpora, Road No 1, Eastern Express HW, Khopat, Thane - 400606","Thane","Maharashtra","+912225395900"
"Trinity Motors","Khata No 985/122, PN 747/3160, NH 5, Pratap Nagari, Cuttack - 753011","Cuttack","Odisha","18001038001"
"Krishna Auto Sales","Ground Floor, GT Road, Dhandari Kalan, Ludhiana - 141010","Ludhiana","Punjab","+919814088866"
"Krishna Auto Sales","Ground Floor, Jalandhar Phagwara GT Road, Khajurla, Phagwara - 144401","Phagwara","Punjab","+919316178212"
"Saisha Motors Pvt Ltd","Hotel Jaipur Marriott, Ashram Marg, Jaipur - 302015","Jaipur","Rajasthan","+917574999339"
"Jai cars pvt ltd","Plot No 27, NH 65, Pali Rd, Bhagat Ki Kothi Extn, Jodhpur - 342001","Jodhpur","Rajasthan","+917574066622"
"Jai cars pvt ltd","Plot No 1, RIICO Industrial Area, NH 08, Amberi, Udaipur - 313001","Udaipur","Rajasthan","+919214872666"
"Gurudev Motors pvt ltd","Old No 559, New No 528, Anna Salai, Teynampet, Chennai - 600018","Chennai","Tamil Nadu","+917239988955"
"Gurudev Motors pvt ltd","No 21, Ambattur Industrial Est, Ambit Park Rd, Chennai - 600058","Chennai","Tamil Nadu","+919441981000"
"SGA Cars India Pvt Ltd","No 226, Kabila Towers, Mettupalayam Road, Coimbatore - 641043","Coimbatore","Tamil Nadu","+919698233066"
"Maverick Motors","No 200/1A3, Airport Rd, Ayanpapakudi, Perungudi, Madurai - 625022","Madurai","Tamil Nadu","+918883377522"
"S7 Cars India pvt ltd","No 274/3, Mamangam, Salem - 636302","Salem","Tamil Nadu","+918740085555"
"Gurudev Motors pvt ltd","Plot No 40 to 43 & 47, Dindigul Rd, Ganapathy Nagar, Pirattiyur, Tiruchirappalli - 620009","Tiruchirappalli","Tamil Nadu","+919441944000"
"Aura Motors pvt ltd","No S/54/9, Nagercoil Highway Road, NH 7, KK Nagar, Tirunelveli - 627007","Tirunelveli","Tamil Nadu","+918344338800"
"Gurudev Motors Pvt Ltd","No 289/1/2, Balunagar, Perumugai, Vellore - 632009","Vellore","Tamil Nadu","+919941244000"
"Mahavir Auto Diagnostics pvt ltd","No 1099, CBI Colony, Road No 36, Jubilee Hills, Hyderabad - 500033","Hyderabad","Telangana","18001233004"
"Mahavir Auto Diagnostics pvt ltd","No 6/3/907, Challa Chambers, Raj Bhavan Rd, Sangeet Nagar, Somajiguda, Hyderabad - 500082","Hyderabad","Telangana","18001233004"
"Kamal Kishore Autocorp. pvt ltd","No 329/330, Faizabad Road, Lucknow - 227105","Lucknow","Uttar Pradesh","+918887604904"
"Brite Auto wheels Pvt Ltd","Shop No 137 & 138, Garden Galleria Mall, Sector 38A, Noida - 201301","Noida","Uttar Pradesh","+917031680316"
"Ganpati Motocorp pvt ltd","Plot No 53 & 54, Shivdaspur, Lahartara, Varanasi - 221106","Varanasi","Uttar Pradesh","+917574060603"
"Channel Motors","Safe Tower, Clement Town, Saharanpur Rd, Sewla Kalan, Dehradun - 248001","Dehradun","Uttarakhand","+919258071028"
"Global Motocorp LLP","No 41 A, Diamond Prestige, Mullick Bazar, AJC Bose Road, Kolkata - 700017","Kolkata","West Bengal","18001230737"
