"Dealer Name","Address","City","State","Pincode","Phone 1","Phone 2","Mobile 1","Mobile 2","Email 1","Email 2","Email 3"
"Sasya Hyundai","7-5-244/1 Vidya Nagar, Jagtial -505327, Jagityal, Jagtial, Andhra Pradesh - 505327","Jagtial","Andhra Pradesh","505327","","","8008204466","8008204466","salesmanager@sasyamotor.comsm.hemakarimnagar@gmail.com","",""
"Kusalava Hyundai","ASWARAO PET NEAR SUB STATION JANGAREDDYGUDEM-534448, Opp Substation Asawaraopet Road, Jangareddygudem (JR Gudem), Andhra Pradesh - 534204","Jangareddygudem (JR Gudem)","Andhra Pradesh","534204","","","8790988686","9347473666","bvrmsales@kusalava.com","",""
"MDH Hyundai","S.No- 538/A/1B, 539/1, Beside of Srinivasa Engineering College, Ukkayapalli Village, Kadapa, - 516002, Ukkayyapalli, Kadapa, Andhra Pradesh - 516002","Kadapa","Andhra Pradesh","516002","","","8886667333","8886667141","hyundai@mdhgroup.co.in","",""
"Sai Sreedevi Hyundai","52-10-38/1, Near Gati Center, Kotipalli Road, Kakinada, GATI Center, Kakinada, Andhra Pradesh - 533002","Kakinada","Andhra Pradesh","533002","8842382020","","9640809192","","sales@sreedevicars.com","",""
"KUN Hyundai","#51/15A-65A,NH-7,Near Auto Nagar,Kurnool-518003, Auto nagar, Kurnool, Andhra Pradesh - 518003","Kurnool","Andhra Pradesh","518003","8518253663","","8886885096","","kununitedknl@gmail.com","kunited_knl@yahoo.co.in",""
"Kusalava Hyundai","Opp. YMCA Beside LOC Petrol Bunk Main Road Machilipatnam, Beside LOC Petrol Bunk, Machilipatnam, Andhra Pradesh - 521001","Machilipatnam","Andhra Pradesh","521001","","","8672880320","9347473666","hynsales@kusalava.com","",""
"R K Hyundai","S.No 1038-1 Devatha Nagar CTM Road, Devatha Nagar CTM Road, Madanapalle, Andhra Pradesh - 517325","Madanapalle","Andhra Pradesh","517325","8571221117","","9533912121","","rkhyundai.sales@gmail.com","",""
"Lakshmi Hyundai","#6-114/1 Opp Tara Restaurant, Near DCC Bank, Main Road, Malkipuram, Malkipuram, Malkipuram, Andhra Pradesh - 533253","Malkipuram","Andhra Pradesh","533253","","","7997999539","","sunnylakshmihyundai@yahoo.co.in","",""
"Sri Jayalakshmi Hyundai","Lakshmi Hyundai, 31-1-23/2, BSD Navata Transport, Alamuru Road, Mandapeta, Andhra Pradesh - 533308","Mandapeta","Andhra Pradesh","533308","8855235336","","8096666399","","mdptlakshmi@gmail.com","",""
"Kun United Hyundai","26/154 J, Opp Govt Arts & Science college, bommalasatra road, Nandyal --518502, Opp Govt Arts & Science college, Nandyal, Andhra Pradesh - 518502","Nandyal","Andhra Pradesh","518502","8514242228","","8886003134","","kununitedndl@gmail.com","",""
"Kusalva Hyundai","D.NO 7-159-49 INNAIAH GARI BUILDIND RAVIPADU ROAD, Ravipadu Road, Narasaraopet, Andhra Pradesh - 522601","Narasaraopet","Andhra Pradesh","522601","","","9963144184","9347473666","gntsales@kusalava.com","",""
"KUN Hyundai","2-165,Thalpagiri colony,Near New Bypass road,Nellore, Near Ayyappa Temple, Nellore, Andhra Pradesh - 520004","Nellore","Andhra Pradesh","520004","8612366135","","9493935375","","kunccare@gmail.com","",""
"Sai Swarna Hyundai","# 7-300, Bustand Road, Near Rajiv Circle, Rajiv Circle, Nuzvid, Andhra Pradesh - 521201","Nuzvid","Andhra Pradesh","521201","","","9581123483","9521251234","nuzvidu.saiswarnahyundai@gmail.com","",""
"Sri Chakra Hyundai","Beside ITC Compound, Throvagunta village, NH-05, Ongole - 5, BESIDE IPC COMPOUND, Ongole, Andhra Pradesh - 520007","Ongole","Andhra Pradesh","520007","8592246628","8592246629","9949096708","9949096708","srichakra@kusalava.com","",""
"Sri Jayalakshmi Hyundai","Lakshmi Hyundai, Beside Spinning  Mill NH-5, Lalacherevu Rajmundry, Lalacheruvu, Rajahmundry, Andhra Pradesh - 553104","Rajahmundry","Andhra Pradesh","553104","8832488111","","8096666399","","lh.rjylakshmihyundai@gmail.com","",""
"Mango Hyundai","Plot No 157, Near Chaitanya School, Srikakulam road, Ponduru Road, Rajam, Andhra Pradesh - 532127","Rajam","Andhra Pradesh","532127","8941253545","","9100027386","","rajam@mangomotors.com","",""
"Mango Hyundai","OS 445/1, N/No.: 31/2, Patrunivasalas Panchayat, Pedapadu Road, Srikakulam, Andhra Pradesh - 532001","Srikakulam","Andhra Pradesh","532001","8942220033","","8008989809","9133560000","pradeepl@mangomotors.com","",""
"R K Hyundai","Plot No. -7, S.No. 331/2P, Panagal Layout, Tirupati - Srikalahasthi Highway Road near Srikalahasthi Railway Station Panagal, Srikalahasthi Railway Station, Srikalahasti, Andhra Pradesh - 517644","Srikalahasti","Andhra Pradesh","517644","8578230260","","9491858323","","rkhyundai.sales@gmail.com","",""
"Kusalava Hyundai","38-52 ,NH-5 ROAD OPP:AKULA SREERAMULA ENGG COLLEGE TENALI(V),TANUKU-534218, Akkula Sriramulu Engineering College, Tanuku, Andhra Pradesh - 534211","Tanuku","Andhra Pradesh","534211","","","8790988585","9347473666","bvrmsales@kusalava.com","",""
"Kusalva Hyundai","D NO 31-7-28 BESIDE NAVODAYA KALYANA MANDAPAM SARALA NAGAR,, Sultanabad, Tenali, Andhra Pradesh - 522202","Tenali","Andhra Pradesh","522202","","","8008804515","9347473666","gntsales@kusalava.com","",""
"R K Hyundai","D no-19-3-13 / N1, Renigunta road, Renigunta road, Tirupati, Andhra Pradesh - 517501","Tirupati","Andhra Pradesh","517501","8772239331","8772239332","9533049002","","rkhyundai.sales@gmail.com","",""
"Sai Sreedevi Hyundai","OPP.SRI PRAKASH COLLEGE, NEAR PAYAKA RAO PETA POLICE STATION, TUNI, Opposite Sri Prakash College, Tuni, Andhra Pradesh - 533401","Tuni","Andhra Pradesh","533401","","","9640809191","9640809192","sales@sreedevicars.com","",""
"Kusalava Hyundai","P.O Box 702, M G Road, Labbipet -520010, Labbipet, Vijayawada, Andhra Pradesh - 520010","Vijayawada","Andhra Pradesh","520010","","","8666666888","9985374311","hynsales@kusalava.com","",""
"Kusalava Hyundai","B4 Industrial Estate,Autonagar, Vijaywada, Krishna, Andhra Pradesh, Vijaywada, Vijayawada, Andhra Pradesh - 520007","Vijayawada","Andhra Pradesh","520007","","","7093969333","","sid@kusalava.com","abdulbasith@kusalava.com",""
"Lucky Hyundai","6/88, Opp. Tankasala Kalyanamandapam, Enikepadu, Krishna, Vijayawada, Andhra Pradesh - 521108","Vijayawada","Andhra Pradesh","521108","8662845888","8662845999","","","Sales.vja@luckyhyundai.in","",""
"Sai Swarna Hyundai","DR.No-128/13B,beside HP-CNG, Petrol Pump Ramavarappadu Ring,, Ramavarappadu Ring Road, Vijayawada, Andhra Pradesh - 521108","Vijayawada","Andhra Pradesh","521108","8662844123","8662844234","9581441234","","sales.saiwarnahyundai@gmail.com","asm.saiswarnahyundai@gmail.com","saiswarnahyundai@gmail.com"
"Lakshmi Hyundai","RAMA TALKIES ROAD  D.NO. 9-1-224/2, CBM COMPOUND VISAKHAPATNAM, Near Rama talkies, Vizag, Andhra Pradesh - 530003","Vizag","Andhra Pradesh","530003","8912717882","","8096666129","","Lakshmi_hyundai@yahoo.co.in","",""
"Lakshmi Hyundai","Plot no.88, d block, autonagar, gajuwaka, Visakhapatnam.530012, Gajuwaka, Vizag, Andhra Pradesh - 530012","Vizag","Andhra Pradesh","530012","8612577994","","8096666537","","lakshmihyundaigwk@gmail.com","",""
"Mango Hyundai","#1-61/5, Opposite Dr. YSR Cricket Stadium,, P.M.PALEM, Vizag, Andhra Pradesh - 530041","Vizag","Andhra Pradesh","530041","8916771999","","8008998801","","sales@mangomotors.com","",""
"Lakshmi Hyundai","8/642, NH - 43, Biyyalapet, Malicherla Village, Vizianagar, Biyyalapeta, Vizianagaram, Andhra Pradesh - 535005","Vizianagaram","Andhra Pradesh","535005","8912717882","","8096666550","","mvr.vsp@lakshmigroup.co.in","",""
"Neni Hyundai","Lekhi Village, Naharlagun, Papumpare, Naharlagun, Naharlagun, Arunachal Pradesh - 791110","Naharlagun","Arunachal Pradesh","791110","","","9366686285","","agm@nenihyundai.co.in","",""
"Neni Hyundai","NH 52, Gumin Nagar,2nd Mile, Pasighat, Opposite D.E.I.T., P.O.-Pasighat, East Siang, Arunachal Pradesh, 791102, Pasighat, Pasighat, Arunachal Pradesh - 791102","Pasighat","Arunachal Pradesh","791102","","","9862290643","","agm@nenihyundai.co.in","",""
"Borah Hyundai","NH-52, Near Police Station, Amguri, Amguri, Amguri, Assam - 785683","Amguri","Assam","785683","","","9706051601","","bhupenborah@hotmail.com","",""
"Meghna Hyundai","Simlaguri NH 31, Barpeta Road, Simlaguri, Barpeta, Assam - 781316","Barpeta","Assam","781316","","","8404031837","","mrinaldas2713.md@gmail.com","sanjibbordoloi08@gmail.com",""
"Mukesh Hyundai","Sundaridia Kalayahati, Barpeta, Sundaridia Kalayahati, Barpeta, Assam - 781301","Barpeta","Assam","781301","","","8822133335","","mukeshbarpeta@karini.in","",""
"Mukesh Hyundai","uparhali, opp. Uparhali forest gate Bijoynagar, opp. Uparhali forest gate, Bijoynagar , Assam - 781122","Bijoynagar ","Assam","781122","","","8822133347","","mukeshbijoynagar@karini.in","",""
"Krishna Hyundai","NH-15.BISWANTH CHARIALI, Biswanath chariali, Assam - 784176","Biswanath chariali","Assam","784176","0371237933","","9435083091","","krishna.tezpur@rediffmail.com","",""
"Krishna Hyundai","Naharajan Tinali, Naharajan Tinali, Bokakhat, Assam - 785612","Bokakhat","Assam","785612","3776269550","","9435152669","","krishna.hyundai@rediffmail.com","",""
"Krishna Hyundai","PO-MORANGI RANGAJAN ABHAYPURIA GAON GOLAGHAT, MORANGI RANGAJAN, Bokakhat, Assam - 785621","Bokakhat","Assam","785621","","","9435053330","","krishna.hyundai@rediffmail.com","",""
"Meghna Hyundai","Chapaguri Road, North Bongaigaon, Chapaguri Road, Bongaigaon, Assam - 783380","Bongaigaon","Assam","783380","36644230084","","","9435121466","meghna1hyundai@gmail.com","",""
"Meghna Hyundai","Ward No-1, K Road, Ward No-1, Dhubri, Assam - 783324","Dhubri","Assam","783324","","","9864078677","","meghna1hyundai@gmail.com","",""
"Borah Hyundai","Mohanaghat Road, Amolapatty Chariali, Amolapatty Chariali, Dibrugarh, Assam - 786008","Dibrugarh","Assam","786008","3732325431","","9435030344","","borahhyundaisales@hotmail.com","",""
"Borah Hyundai","Golai No 2, Near Nam Dang Restraunt, PO Digboi Dist Tinsukia, Near Nam Dang Restraunt, Digboi, Assam - 786171","Digboi","Assam","786171","","","7576868629","9435137239","borah_hyundai_tsk@yahoo.com","",""
"Durgesh Hyundai","Boragadhoi Village, Kamlabari Road, Duliajan - 786602, Kamalabari Road, Duliajan, Assam - 786602","Duliajan","Assam","786602","","","9435136906","9864081707","borah.abhilash8@gmail.com","borah.lachit9@gmail.com",""
"Meghna Hyundai","Udainagar, Agia Road, Goalpara, Udainagar, Goalpara, Assam - 783121","Goalpara","Assam","783121","","","9435120287","","meghna1hyundai@gmail.com","",""
"Mukesh Hyundai","Kushan Plaza, G.S. Road, Ganeshguri, Ganeshguri, Guwahati, Assam - 781006","Guwahati","Assam","781006","3612232550","","9864060001","9864139290","dhiraj@karini.in","saurabhmodi@karini.in",""
"Oja Hyundai","NH-37, Basistha Charali,  Beltala Charali, Basistha Chariali, Guwahati, Assam - 781029","Guwahati","Assam","781029","3602307048","","9864339002","","ojahyundai@yahoo.co.in","",""
"Oja Hyundai","Kamrup College of Vocational Training School, Guwahati Club, Opp. TC Girls HS School, Guwahati Club, Opp. TC Girls HS School, Guwahati, Assam - 781003","Guwahati","Assam","781003","","","8135972359","","kingshantanu123@gmail.com","",""
"Oja Hyundai","H.No.114, Maniram Dewan Rd, Sector 2, Jayanta Nagar, Noonmati, Guwahati,, Noonmati, Guwahati, Assam - 781020","Guwahati","Assam","781020","","","9864339005","","ojahyundai@yahoo.co.in","",""
"Saraighat Hyundai","Oja Commercial Complex, A.T Road, Adabari., Adabari, Guwahati, Assam - 781014","Guwahati","Assam","781014","03612673166","03612673167","9706099177","9706099191","saraighat.hyundai.ghy@gmail.com","apurba.saraighathyundai@gmail.com",""
"Krishna Hyundai","Pulibor, A.T. Road, Pulibor, Jorhat, Assam - 785006","Jorhat","Assam","785006","3762372691","","9435096132","","khjorsales@rediffmail.com","",""
"Singhi Hyundai","Silchar Karimganj Road, Sarisa, Karimganj, Sarisa, Karimganj, Assam - 788713","Karimganj","Assam","788713","","","7002181332","","singhihyundai@gmail.com","",""
"Meghna Hyundai","Ward No.4, Kokrajhar Road, Kokrajhar, Kokrajhar, Kokrajhar, Assam - 783370","Kokrajhar","Assam","783370","","","8486435617","","meghna1hyundai@gmail.com","",""
"Akash Hyundai","LANKA RSO ward No 7, Rangmahala, Lanka, Nagaon, Ward No 7, Rangmahala,, Lanka, Assam - 782446","Lanka","Assam","782446","","","7399000625","","akashhyundai@gmail.com","",""
"Oja Hyundai","A.T. Roda Mangaldoi, Mangaldoi, Mangaldoi, Assam - 784125","Mangaldoi","Assam","784125","","","9854018241","","ojahyundai@yahoo.co.in","",""
"Borah Hyundai","Tinali Margreta, tinsukia, Tinali Margreta, Margherita, Assam - 786181","Margherita","Assam","786181","","","8876500602","","borah_hyundai_tsk@yahoo.com","",""
"Akash Hyundai","Sonarigaon, PWD Road, Ward No.7, Morigaon, Marigaon, Assam - 782140","Marigaon","Assam","782140","","","9435062671","","akashhyundai@gmail.com","",""
"Akash Hyundai","NH-37, Bhomoraguri, Jagi Road, Jagiroad, Marigaon, Assam - 782410","Marigaon","Assam","782410","","","7399000617","","akashhyundai@gmail.com","",""
"Akash Hyundai","Atul Plaza, NH 37, Senchowa, Haibargaon, Atul Plaza, Haibargaon, Nagaon, Assam - 782002","Nagaon","Assam","782002","3672225202","","7399000604","","akashhyundai@gmail.com","",""
"Saraighat Hyundai","Hajo Road, Nalbari, Near Hajo Bus Stand, Nalbari , Assam - 781335","Nalbari ","Assam","781335","","","9854026302","","saraighatnalbari@gmail.com","",""
"Mandona Hyundai","NH-52, Rawanapur, P.O. Hatilung, Rawanapur, North Lakhimpur, Assam - 787001","North Lakhimpur","Assam","787001","3752232880","","7896427570","","mdonahyundai@gmail.com","",""
"Saraighat Hyundai","Near Bajali College, College Road,, J.P. Plaza Bhattadev Nagar, Pathsala , Assam - 781325","Pathsala ","Assam","781325","","","9854021436","","saraighatpsl@gmail.com","",""
"Mukesh Hyundai","Gopal Nagar Near Natioal Highway 31, Rangia, Gopal Nagar, Rangia, Assam - 781354","Rangia","Assam","781354","","","8486003017","","mukeshrangia@karini.in","",""
"Borah Hyundai","Betbari, Alimore, Alimore, Sivasagar, Assam - 785664","Sivasagar","Assam","785664","3772218681","","9954481127","","borahsivsagar@hotmail.com","",""
"Singhi Hyundai","Sonai road, opp. Near Holy Cross School, opp. Near Holy Cross School, Slichar, Assam - 227701","Slichar","Assam","227701","3842227701","","7578006186","9435173149","singhihyundai@gmail.com","",""
"Oja Hyundai","NH - 37, Sonapur, Kamrup, Sonapur, Sonapur, Assam - 782402","Sonapur","Assam","782402","","","7086099117","","ojahyundai@yahoo.co.in","",""
"Krishna Hyundai","Mazgaon, Baruahchuburi, Near 155 Base Hospital, P.O-Nikamul, 155 Base Hospital, Tezpur, Assam - 784001","Tezpur","Assam","784001","3712237933","","9706050825","9706726768","khtezsales@rediffmail.com","",""
"Borah Tinsukia","A. T. Road , Basbari, Basbari, Tinsukia, Assam - 786125","Tinsukia","Assam","786125","","","9954488039","","borah_hyundai_tsk@yahoo.com","",""
"Vantage Hyundai","NEAR DAV SCHOOL,DHARHARA,DHANUPARA,NH-30,ARA, Arrah, Arrah, Bihar - 802301","Arrah","Bihar","802301","","","7903251798","","swastikhomes.patna@gmail.com","",""
"Binay Hyundai","AT - Papraur, PO - Mahna, Near Dinkar Chauk, Begusarai, Bihar - 851210","Begusarai","Bihar","851210","6243265555","","9525110011","9771486069","binayhyundai@gmail.com","",""
"Balaji Hyundai","Supriya Cinema Road, Bettaih, Supriya Cinema Road, BETIAH, Bihar - 845438","BETIAH","Bihar","845438","","","7091099623","","balajihyundai@yahoo.com","",""
"Lagoon Hyundai","NH-80, Sabour Road, Rani Talab, Sabour Road, Bhagalpur, Bihar - 812002","Bhagalpur","Bihar","812002","","","8051100093","8051100094","cclagoonhyundai@gmail.com","",""
"Binay Hyundai","NH-31 , Asha Nagar, Biharsharif, Biharsharif, Biharsharif, Bihar - 803118","Biharsharif","Bihar","803118","","","7369943959","","binayhyundai@gmail.com","",""
"Nidhi Hyundai","Golamber main road (Buxar-ara road), Buxar-ara Road, Buxar, Bihar - 802101","Buxar","Bihar","802101","","","7707005517","","hyundai.buxar@gmail.com","",""
"Sahil Hyundai","Chapra Basarhi Bhawan, Dhruvdevnagar By Pass Road, Dhruvdevnagar By Pass Road, Chapra, Bihar - 841302","Chapra","Bihar","841302","","","7280899916","7280899917","sahilhyundai@gmail.com","satishthpa@yahoo.com",""
"Sahil Hyundai","Station Road, Near Poor Home, Station Road, Darbhanga, Bihar - 846004","Darbhanga","Bihar","846004","","","7763812972","9263632868","sahilhyundai@gmail.com","",""
"Vantage Hyundai","NH-19, Hazipur, Vaishali, NH-19, Opposite Relaince petrol pump, Hajipur, Bihar - 844101","Hajipur","Bihar","844101","6224265999","","7280046101","7280046102","salesheadvantagehyundai@gmail.com","salesvantagehyundai@gmail.com",""
"Sahil Hyundai","Near Police Line, Bhauwara, Kotwali Chowk, Madhubani, Bhauwara, Madhubani, Bihar - 847212","Madhubani","Bihar","847212","","","9263632878","","sahilhyundai@gmail.com","",""
"Balaji Hyundai","NH - 28A, Near DAV School More, Dist. East Champaran, Bariarpur, Opp. Kotwa More, Motihari, Bihar - 845401","Motihari","Bihar","845401","","","7542032656","9386729953","balajihyundai@yahoo.com","",""
"Balaji Hyundai","NH 28, Khabra, Khabra, Muzaffarpur, Bihar - 843146","Muzaffarpur","Bihar","843146","","","7091099586","","Balajihyundai@yahoo.com","",""
"Balaji Hyundai","C.T Marg, Kalambagh Road, Kalambagh Road, Muzaffarpur, Bihar - 842002","Muzaffarpur","Bihar","842002","6212247662","","9334383518","9308138308","balajihyundai@yahoo.com","",""
"Ashiana Hyundai","NH-30, Ranipur Paijawa, P.S-Bypass, Paijawa, Patna, Bihar - 800000","Patna","Bihar","800000","","","9709300124","","sandyagr@gmail.com","ashianahyundai@hotmail.com","ashianahyundai@gmail.com"
"Ashiana Hyundai","Ashiana Vihar, Next to CDA building, Rajendrapath, Rajendra Path, Patna, Bihar - 800001","Patna","Bihar","800001","","","9204651979","9234459111","ashianahyundai@gmail.com","",""
"Krrish Hyundai","New Alkapuri Bypass Road, Gardanibagh, Anisabad, Patna, Patna, Bihar - 800002","Patna","Bihar","800002","6122384057","","9999999999","","amitgupta@krrishhyundai.com","krrishmotors@yahoo.com",""
"Krrish Hyundai","Nutan Towers, Main Road, Kankarbagh, Kankarbagh,Patna, Patna, Bihar - 800020","Patna","Bihar","800020","6122384057","","8578000010","","krrishmotors@yahoo.com","",""
"Asma Hyundai","NH - 31, Jail Chowk, Purnea, Purnea, Purnea, Bihar - 854301","Purnea","Bihar","854301","0645224465","","7280843003","","asmahyundai.sales@gmail.com","",""
"Lagoon Hyundai","Tiwary Chowk Near RM College, By Pass Road, Saharsa, Tiwari Chowk, Saharsa, Bihar - 852201","Saharsa","Bihar","852201","6478222234","","8051100093","8051100094","cclagoonhyundai@gmail.com","",""
"Balaji Hyundai","DHARAMPUR CHOWK, SAMASTIPUR TAJ PUR ROAD,, Dharampur Chowk, Samastipur, Bihar - 848125","Samastipur","Bihar","848125","","","8102921171","","balajihyundai@yahoo.com","",""
"Nidhi Hyundai","NH - 2, Bye Pass, GT Road, Mouja, Khairi, Rohtas, GT Road, Sasaram, Bihar - 821115","Sasaram","Bihar","821115","","","9999708245","","Hyundai.sasaram@gmail.com","",""
"Balaji Hyundai","Shanti Nagar, Dumra Road, Sitamarhi, Dumra Road, Sitamarhi, Bihar - 843302","Sitamarhi","Bihar","843302","","","8102921171","","rajesh.hyundai@yahoo.com","",""
"Musafir Hyundai","MAIRWA ROAD SIWAN NEAR SUTTA FACT. SIWAN BIHAR, Near Sutta Factory, Siwan, Bihar - 841226","Siwan","Bihar","841226","6154240017","","7541914572","","musafirhyundai@gmail.com","musafirhyundai@gmail.com",""
"Berkeley Hyundai","Plot No. 27, Industrial Area, Phase-1, Industrial Area Phase-1, Chandigarh, Chandigarh - 160002","Chandigarh","Chandigarh","160002","","","7710605606","","Sanjaydahuja@berkeleyindia.com","gmsales@berkeleyindia.com",""
"Charisma Hyundai","7, Industrial area, Phase - 1, Chandigarh, Industrial Area, Phase I, Chandigarh, Chandigarh - 160002","Chandigarh","Chandigarh","160002","1722658822","","9357692728","8591328591","hyundai@charismagoldwheels.net","",""
"Joshi Hyundai","Plot No.: 66, Industrial Area, Phase - 2, Industrial Area, Phase - 2, Chandigarh, Chandigarh - 160002","Chandigarh","Chandigarh","160002","","","7347003548","","sm.chd@joshiauto.com","",""
"Ultimate Hyundai","154-155, Indl. Area, Phase-1, Chandigarh 0172-5023500, Industrial Area, Phase I, Chandigarh, Chandigarh - 160002","Chandigarh","Chandigarh","160002","1725023500","","8054996601","9316165500","sales.ultimateauto@gmail.com","",""
"Krishna Hyundai","Banahil Chowk, Akaltara - Chhattisgarh, Banahil Chowk, Akaltara, Chhattisgarh - 495552","Akaltara","Chhattisgarh","495552","","","9993510088","","krishnakorba@gmail.com","",""
"Krishna Hyundai","Plot No 368/3,4 Manendragarh Road, Ambikapur Distt. Sarguja, Manendragarh Road, Ambikapur, Chhattisgarh - 497001","Ambikapur","Chhattisgarh","497001","7747015390","","7747015400","7747015392","krishnaambikapur@gmail.com","",""
"Shivnath Hyundai","Shivnath Extension,Commercial Complex,Plot No.2,Block-B,G.E.Road, supela,, Near Chandra Mourya Complex,Supela, Bhilai, Chhattisgarh - 490006","Bhilai","Chhattisgarh","490006","7885035914","","9770112812","","salesbhilai@shivnath.jaika.com","",""
"Krishna Hyundai","Raipur Road, Parsada, Raipur Road Parsada, Bilaspur, Chhattisgarh - 495223","Bilaspur","Chhattisgarh","495223","","","7747015302","7747015307","bilaspurkrishna@gmail.com","",""
"Shivnath Hyundai","Raipur Road, Sehara Dabri Dhamtari, Raipur Road ,Sehara Dabri, Dhamtari, Chhattisgarh - 493773","Dhamtari","Chhattisgarh","493773","","","9981991807","","rkhare@raipur.jaika.com","",""
"Shivnath Hyundai","Raipur Road, Majarkatta, Beside Collectorate Office, Gariyabandh, Majarkatta, Beside Collectorate Office, Gariyabandh, Chhattisgarh - 493889","Gariyabandh","Chhattisgarh","493889","","","7049917577","","shivnath@jaika.com","",""
"Shivnath Hyundai","Semi Urban Industrial Area, Nayamunda, Naya Munda Road, Jagdalpur, Chhattisgarh - 494001","Jagdalpur","Chhattisgarh","494001","7782237680","","","9981991862","munshi@shivnath.jaika.com","",""
"Krishna Hyundai","Krishna Auto Riders Pvt Ltd. Modi Road, Modi Road, Korba, Chhattisgarh - 495678","Korba","Chhattisgarh","495678","7759605111","","7747015378","","krishnakorba@gmail.com","",""
"Shivnath Hyundai","Gram Kharora Mahasamund, Garam Kharora, Mahasamund, Chhattisgarh - 493445","Mahasamund","Chhattisgarh","493445","","","7049917520","","rkhare@raipur.jaika.com","",""
"Goyal Hyundai","Raigarh road, PATHALGAON, Pathalgaon, Pathalgaon, Chhattisgarh - 496118","Pathalgaon","Chhattisgarh","496118","","","7024108301","","goyalhyundai@gmail.com","",""
"Goyal Hyundai","Near Reliance Petrol Pump, Jindal Road, Bhagwanpur, Jindal Road,Bhagwanpur, Raigarh, Chhattisgarh - 496001","Raigarh","Chhattisgarh","496001","","","7389918001","7389918001","goyalhyundai@gmail.com","",""
"Mangalam Hyundai","Dhamtari Road, Devpuri, Raipur - Chhattisgarh, Dhamtari Road, Devpuri, Raipur, Chhattisgarh - 492099","Raipur","Chhattisgarh","492099","7714258888","","9926901133","9669801199","sales.magalamhyundai@gmail.com","",""
