"Dealer Name","Address","City","State","Pincode","Contact","Email"
"SIVA SANKAR MOTORS PVT LTD","43-9-141, T S N COLONY, NU","Vishakhapatnam","Andhra Pradesh","530016","0891 - 6469101-104","ceo@sivasankarmotors.org"
"SIVA SANKAR MOTORS PVT LTD","NCS CINEMA THEATRE ROAD, OPP ICICI BANK","Vizianagaram","Andhra Pradesh","535001","08922 279918","salesmanager@sivasankarmotors.org"
"AAB TARA MOTORS","NH-52A, LEKHI VILLAGE, NIRJULI","Itanagar","Arunachal Pradesh","791109","9436800766","aabtara_tatamotors@rediffmail.com"
"AAB TARA MOTORS","2 MILE, OPP. ESSAR PETROL PUMP","Pasighat","Arunachal Pradesh","791102","9862258618","aabtaramotors.psg@gmail.com"
"ASHUTOSH  MOTORS & ALLIED BUSINESS PVT LTD","NH-15, KALYANPUR","Biswanath Chariali (tc)","Assam","784176","9435061467","dg.amabpl@gmail.com"
"PRAGATI TRADING COMPANY LTD","NH-37, A T ROAD","Bokakhat","Assam","785612","8486480185","pragatimotors_jrt@rediffmail.com"
"BHAGYASHREE MOTORS PVT LTD","NORTH BONGAIGAON, CHAPAGURI ROAD, OPP DC'S RESIDENCE","Bongaigaon","Assam","783380","7399050214","bhagyashreemotorspvtltd@gmail.com"
"HEMAVI MOTORS PVT. LTD.","NALANIPAM, P.O. DHEMAJI","Dhemaji","Assam","787057","9435186920","hemavimotors@gmail.com"
"SUBHANGSHU MOTORS (A UNIT OF J.D. VENTURES PVT. LTD.)","JHAPARA GAON, NH-37, P.O. MOHANAGHAT","Dibrugarh","Assam","786008","7035727570","jdmotors.dbr@gmail.com"
"SUBHANGSHU MOTORS (A UNIT OF J.D. VENTURES PVT. LTD.)","KAMLABARI ROAD, P.O. DULIAJAN, P.S. DULIAJAN","Duliajan No.1","Assam","786602","9435003095","subhangshumotors@gmail.com"
"MARWET PETROLEUM AGENCY","D.N. TOWER, BASISTHA CHARIALI, N.H.-37, OPP. MEGHA PLAZA","Guwahati","Assam","781029","8011003650","bimal.cars@gmail.com"
"UTKARSH MOTOTECH PVT LTD","SWASTIK AYODHYA COMPLEX, KAMAKHYA GATE, AT ROAD","Guwahati","Assam","781009","7578000456","rohitmalhotra.ghy@gmail.com"
"ASHUTOSH  MOTORS & ALLIED BUSINESS PVT LTD","RAMKRISHNA MISSION ROAD (BORAH MARKET)","Hojai","Assam","782435","9435061467","sales@ashutoshmotors.com"
"PRAGATI TRADING COMPANY LTD","A T ROAD, PULIBOR, NU","Jorhat","Assam","785006","0376 - 2371800 / 01 /  02","pragatimotors_jrt@rediffmail.com"
"HIGHWAY WHEELS","VILL-BHATGRAM, P.O.SILCHAR ROAD, SARISHA","Karimganj","Assam","788713","9435046829","highwaywheels.silchar@gmail.com"
"UTKARSH MOTOTECH PVT LTD","PUNIA NH-52, NEAR PODDAR CAR WORLD","Mangaldoi","Assam","784529","8134923939","upensarmah@gmail.com"
"ASHUTOSH  MOTORS & ALLIED BUSINESS PVT LTD","BIROH BEBEJIA, NEAR NHPC GODOWN, SENSOWA","Nagaon","Assam","782002","3672258368","ashutoshmotors1@gmail.com"
"BHAGYASHREE MOTORS PVT LTD","DHAMDHAMA ROAD, NH31, NEAR GANESH MANDIR","Nalbari","Assam","781337","03624 - 224442","bhagyashreemotorspvtltd@gmail.com"
"HEMAVI MOTORS PVT. LTD.","WARD NO- 3, P.O.& P.S. NARAYANPUR","Narayanpur","Assam","784164","7002188377","hemavisubansiri.nrp@gmail.com"
"HEMAVI MOTORS PVT. LTD.","NH-15, HATILUNG","North Lakhimpur","Assam","787031","9435186920","hemavimotors@gmail.com"
"HIGHWAY WHEELS","NH 54, RAMNAGAR, NEAR RAMKRISHNA FILLING STATION","Silchar","Assam","788003","8638060650","highwaywheels.silchar@gmail.com"
"ASHUTOSH  MOTORS & ALLIED BUSINESS PVT LTD","UDMARI BORJHAR GAON, P.O- DEKARGAON, MOUZA-HOLESWAR, P.S-TEZPUR, NEAR HOLESWER MANDIR, NEAR SALNIBARI AIRFORCE STATION","Tezpur","Assam","784104","3672280005","sales@ashutoshmotors.com"
"DHANSRI AUTO VENTURES PVT LTD","OPP. NEW TINSUKIA RAILWAY STATION, HIJUGURI, A.T. ROAD","Tinsukia","Assam","786125","0374-2333397","admin@dhansri.com"
"SHANKAR MOTORS PVT LTD - 3003240","SH 63, SISAUNA","Araria","Bihar","854311","6207925648","smplpurnea@gmail.com"
"ANANYA AUTO AGENCY PVT LTD","NEW POLICE LINE, OPPOSITE IDBI BANK, CHANDWA","Arrah","Bihar","802301","7033093130","ananyaautoagency@gmail.com"
"KUSUMNATH AUTOMOBILES PVT LTD","NH-139, AHIYAPUR","Arwal","Bihar","804401","6205919275","gmsales@magadhmotors.com"
"OMKAR MOTORS PVT LTD-3004881","S/O-RANA PRATAP SINGH, RAMRAJYA NAGAR,KARMA ROAD,AURANGABAD","Aurangabad","Bihar","824101","8406003406","omkarmotorspvtltd@yahoo.in"
"SHANKAR MOTORS PVT LTD - 3001590","NEAR DEOGHAR BUS STAND, AT. KATORIA ROAD","Banka","Bihar","","7766909150","ranjiv.roy2025@gmail.com"
"GANGA VEHICLES PVT LTD","RAMJANPUR","Begusarai","Bihar","851129","8102097296 / 9955861934","gvpltd@gmail.com"
"NITIRAJ MOTORS PVT.LTD.","NH- 28B, MANSA TOLA, OPP. MUFFASSIL PS","Bettiah","Bihar","845450","7766909664","praveen.kumar@nitirajmotors.com"
"ANANYA AUTO AGENCY PVT LTD","17 NO. CHOWK, NH 80, BAKHTIYARPUR ROAD","Biharsharif","Bihar","803118","9771443154","ananyaautoagency@gmail.com"
"ANANYA AUTO AGENCY PVT LTD","NEAR BABA DHARAMKANTA, OPPOSITE CANARA BANK, GOLAMBAR","Buxar","Bihar","802101","9771443154","ananyaautoagency@gmail.com"
"OMKAR MOTORS PVT LTD-3004881","BHAKHAURAN MORE, SATBIGAHAWA, AURANGABAD ROAD","Daudnagar","Bihar","824143","8406003401","vermar2001@yahoo.com"
"SHANKAR MOTORS PVT LTD - 3003240","NEAR HERO SHOWROOM, RANIGANJ ROAD, RAMPUR CHOWK","Forbesganj","Bihar","854318","9771497939","sudershan.jha1984@gmail.com"
"KUSUMNATH AUTOMOBILES PVT LTD","NH:- 83, GAYA BODHGAYA ROAD","Gaya","Bihar","823004","9608307499","magadhmotorsgaya@gmail.com"
"SHANKAR MOTORS PVT LTD - 3001590","NEAR  ENGG COLLEGE, SABOUR ROAD","Gohario","Bihar","812006","0641 - 2452467 / 468","mkhmh@mauryamotors.in"
"URMILA AUTOMOBILES PVT LTD","BHOJPURWA, POST-GOPALGANJ, PS-MAJHAGARH","Gopalganj","Bihar","841428","7561924414","ceo.urmilaauto@gmail.com"
"SHANKAR MOTORS PVT LTD - 3001590","PREET TRACTOR, MANGLAM ENTERPRISE","Jamui","Bihar","811307","7004499488","shankarmotors.bhagalpur@gmail.com"
"KUSUMNATH AUTOMOBILES PVT LTD","AT-KANOUDI, GAYA PATNA ROAD, NEAR RELIANCE PETROL PUMP","Jehanabad","Bihar","804417","6205919275","gmsales@magadhmotors.com"
"SHANKAR MOTORS PVT LTD - 3003240","SHIVPURI, B.M.P. CAMP, KATIHAR PURNEA ROAD","Katihar","Bihar","854106","","mkhmh@mauryamotors.in"
"SHANKAR MOTORS PVT LTD - 3003240","RAMPUR, NEAR MAHINDRA SHOWROOM, POST- KISHANGANJ, NH31","Kishanganj","Bihar","855107","9234667200","ashishmuvdsm@yahoo.com"
"NITIRAJ MOTORS PVT.LTD.","NH-28 BETTIAH ROAD, NEAR CHHATAUNI CHOWK","Motihari","Bihar","845401","9263639001 / 9263639031","nitiraj.service@gmail.com"
"YASHRAJ MOTORS PVT LTD","BIBI GANJ, NH-28","Muzaffarpur","Bihar","842001","9263638201 / 9263638215","yashraj.motors@yahoo.co.in"
"KUSUMNATH AUTOMOBILES PVT LTD","AT-NH-31, NAHARPAR, SHAHPUR, PATNA RANCHI ROAD","Nawada","Bihar","805123","6205919276","gmsales@magadhmotors.com"
"GUINEA MOTORS (P) LTD.","""ANAND VIHAR"", WEST BORING CANAL ROAD","Patna","Bihar","800013","0612 - 2230982 / 2275689 / 2275195","guineamotors27@gmail.com"
"ANANYA AUTO AGENCY PVT LTD","DANAPUR KHAGUAL ROAD, NEAR GAYATRI HOSPITAL AND SSB CAMP","Patna","Bihar","801503","7480878551","ananyaautoagency@gmail.com"
"ANANYA AUTO AGENCY PVT LTD","KUMHRAR KANKARBAGH MAIN ROAD, OPP INDIAN OIL PETROL PUMP, KUMHARAR","Patna","Bihar","800020","9297877409","ananyaautoagency@gmail.com"
"SHANKAR MOTORS PVT LTD - 3003240","DAMKA, KISHANGANJ ROAD, GULABBAGH, NATIONAL HIGHWAY-31","Purnia","Bihar","854326","06454 - 234688 / 232144 / 9234667200","ashishmuvdsm@yahoo.com"
"NITIRAJ MOTORS PVT.LTD.","NH 28A, LAXMIPUR, NEAR BHARAT PETROL PUMP","Raxaul Bazar","Bihar","845305","9122331318","basantvats1@gmail.com"
"SHANKAR MOTORS PVT LTD - 3003240","AT TIWARI TOLA, NH 107, NEAR TIWARI TRANSPORT","Saharsa","Bihar","852201","7066909086","smplsaharsa@gmail.com"
"OMKAR MOTORS PVT LTD-3004881","OPP. MALWAR GATE, NEAR TOLL TAX, G.T. ROAD, PS-SHIVSAGAR","Sasaram","Bihar","821115","06184 - 221285","vermar2001@yahoo.com"
"YASHRAJ MOTORS PVT LTD","BARIYARPUR CHOWK, BYPASS ROAD","Sitamarhi","Bihar","843302","9570463333","diwakar.singh29@gmai.com"
"URMILA AUTOMOBILES PVT LTD","VILL -  JASAULI, NH-85, PS - PACHRUKHI","Siwan","Bihar","841226","7561924414","ceo.urmilaauto@gmail.com"
"SHANKAR MOTORS PVT LTD - 3003240","NEAR BUS STAND, PIPRA ROAD, WARD NUMBER 7","Supaul","Bihar","852131","7766909172","smpl.supaul@gmail.com"
"RSA MOTORS PVT. LTD.","PLOT NO 40, INDUSTRIAL AREA, PHASE II","Chandigarh","Chandigarh","160002","7710666606","sm2.sales@berkeleyindia.com"
"RSA MOTORS PVT. LTD.","PLOT NO.5, INDUSTRIAL AREA, PHASE I","Chandigarh","Chandigarh","160002","0172 - 5033333 / 9914110606","gmsales.tata@berkeleyindia.com"
"SUNIL VEHICLES PVT LTD","M.G. ROAD, OPPOSITE DEEPAK ENGINEERING WORKS","Ambikapur","Chhattisgarh","497001","8000400048","sunilautocars@outlook.com"
"SUNIL VEHICLES PVT LTD","MANENDRAGARH ROAD","Baikunthpur","Chhattisgarh","497335","8000400048","sales.sunilautocars@outlook.com"
"SAIRAM AUTOMOBILES & SERVICES PVT LTD","JHALMALA ROAD, SHIVNI","Balod","Chhattisgarh","491226","8463820000","sales.sairamautomobiles@gmail.com"
"BHASIN VENTURES PVT LTD","NEAR LAWAN BYPASS, LAWAN ROAD, VILLAGE - BAMANMUDI","Baloda Bazar","Chhattisgarh","493332","9229330903","sales@bhasinmotors.com"
"SUNIL VEHICLES PVT LTD","IN FRONT OF GOVT. GUEST HOUSE, RAMANUJGANJ ROAD","Balrampur","Chhattisgarh","497119","8000400048","sales.sunilautocars@outlook.com"
"SAIRAM AUTOMOBILES & SERVICES PVT LTD","G.E. ROAD , KRISHNA NAGAR, SUPELA","Bhilai","Chhattisgarh","490023","0788 - 6647006 / 9630304267 / 9826428511","sairam_automobiles@yahoo.com"
"J D AUTONATION","BILASPUR   ROAD,. ,  KIRATPURSAHIB, BILASPUR ROAD, KIRATPUR SAHIB","Bilaspur","Chhattisgarh","495001","07752 - 430804","manish@jdautonation.com"
"JAGDALPUR MOTORS (P) LTD","OPP. RTO OFFICE","Dantewada","Chhattisgarh","494449","7773088855","madhu78rao@gmail.com"
"JAGDALPUR MOTORS (P) LTD","PANDRIPANI, GEEDAM ROAD, NH-16","Jagdalpur","Chhattisgarh","494001","07782 - 225261","tatajagdalpur@rediffmail.com"
"NATIONAL GARAGE-3008650","TIKRAPARA, MAIN ROAD, IN FRONT OF ST. MICHEALS SCHOOL","Kanker","Chhattisgarh","494334","9826428521","shank31@hotmail.com"
"SAIRAM AUTOMOBILES & SERVICES PVT LTD","VILLAGE - JORATAL, BILASPUR ROAD, NEAR NEW POLICE LINE","Kawardha","Chhattisgarh","491995","8889977445","sales.sairamautomobiles@gmail.com"
"JAGDALPUR MOTORS (P) LTD","MARKAM COMPLEX, MAIN ROAD","Kondagaon","Chhattisgarh","494226","7773088855","tatajagdalpur@rediffmail.com"
"SHIVAM AUTOMOTIVE","C-13 NIHARIKA, NEAR PETROL PUMP","Korba","Chhattisgarh","495677","07759-245041/43","ssm.baapl@gmail.com"
"BHASIN VENTURES PVT LTD","NR. TRIMURTY COLONY, RAIPUR ROAD","Mahasamund","Chhattisgarh","493445","9229330903","sales@bhasinmotors.com"
"SUNIL VEHICLES PVT LTD","JHAGRAKHAND ROAD, INFRONT OF KHAN NURSING HOME","Manendragarh","Chhattisgarh","497442","8000400048","sales.sunilautocars@outlook.com"
"J D AUTONATION","NEAR GOVIND FUELS, BESIDES HARSH MOTORS (BAJAJ SHOWROOM), BILASPUR ROAD","Mungeli","Chhattisgarh","495334","9826112131","mungeli@jdautonation.com"
"J D AUTONATION","CHAMPA ROAD, IN FRONT OF HOTEL DREAM POINT","Naila-janjgir","Chhattisgarh","495668","9522204410","gmsales@jdautonation.com"
"SHIVAM AUTOMOTIVE","BHAGWANPUR, JINDAL ROAD","Raigarh","Chhattisgarh","496001","9109179555","rasailysuraj@gmail.com"
"BHASIN VENTURES PVT LTD","NH-6, NEAR CHOKRA NALA, OPP. M.S. PETROL PUMP, P.O. RAVIGRAM, LABHANDI, TELIBANDHA","Raipur","Chhattisgarh","492006","0771 - 4224501 - 598 / 2444891 - 893","info.bhasinventures@gmail.com"
"NATIONAL GARAGE-3008650","OPP. DHUPPAD PETROL PUMP, G.E. ROAD","Raipur","Chhattisgarh","492001","0771 - 4083300","ng_raipur@yahoo.com"
"BHASIN VENTURES PVT LTD","NEAR GAYATRI MANDIR, MAIN ROAD","Saraipali","Chhattisgarh","493558","9329657180 / 9425157180","info.bhasinventures@gmail.com"
"SIKKA LOCOMOTIVES PVT. LTD.","B 72/4 WAZIRPUR INDUSTRIAL AREA","Delhi","Delhi","110052","9810906222","vpsales@hemkundtata.com"
"AUTOVIKAS SALES & SERVICE PVT. LTD.","K-1, MATIALA ROAD, RAJAPURI, DWARKA, OPP. SEC-5","Delhi","Delhi","110075","011 - 45303000","deepak.saini@autovikas.com"
"AUTOVIKAS SALES & SERVICE PVT. LTD.","26/3-4, NAJAFGARH ROAD, INDUSTRIAL AREA, SHIVAJI MARG","Delhi","Delhi","110015","011 - 49050505","deepak.saini@autovikas.com"
"GO AUTO PVT. LTD.","D-189, OKHLA PHASE I, NEAR HOTEL CROWN PLAZA","Delhi","Delhi","110020","011-48422200 / 9015444444","gmsales@goauto.in"
"SPARSH AUTOTECH PVT. LTD.","RZ A- 70, GARG PLAZA, DABRI - PALAM ROAD, DWARKA","Delhi","Delhi","110043","9319198300","gmsales.tata@sparsh.co"
"ANR AUTOMOBILES PVT LTD","3535, NETAJI SUBHASH MARG, KALAN MAHAL, DARIYA GANJ","Delhi","Delhi","110002","011 - 49104910","sales@aryamotors.in"
"SPARSH AUTOTECH PVT. LTD.","PLOT NO. 8-9-10-11, MASOODABAD, MAIN NAJAFGARH ROAD, NEAR SAI BABA MANDIR","Delhi","Delhi","110043","9319198300-01-02","sales.tata.njf@sparsh.co"
"TRUENORTH AUTOMOBILES PVT LTD","A1/1, MAYAPURI INDUSTRIAL AREA, PHASE 1","Delhi","Delhi","110064","8800693630","gm.sales@truenorthautos.com"
"MALWA AUTOMOBILES PVT. LTD.","A-1/16, PRASHANT VIHAR","Delhi","Delhi","110085","8510919191 / 8510929292 / 8510949494","tarun_ekansh@yahoo.com"
"GO AUTO PVT. LTD.","A-2/14, SAFDARJUNG ENCLAVE","Delhi","Delhi","110029","8586009456","edp.bhikaji@goauto.in"
"DURGA MOTORS-3001241","PLOT NO 67/10, H. NO. 416/13,, NEAR ""O"" COQUEIRO CIRCLE, PORVORIM","Pilerne","Goa","403521","0832 - 2410601","ashoktsapra@gmail.com"
"KARNAVATI MOTORS","SR. NO. 122-1-2, FINAL PLOT NO. 683, OPP. KAILASH PETROL PUMP, GALAXY CINEMA ROAD, N.H NO-8","Ahmadabad","Gujarat","382330","8980980007","jatin@karnavatigroup.com"
"RIYA AUTOLINK","NEAR DEVKUTI BUNGLOW, OPP BOPAL AMBLI BRTS BUS STAND, ISCON-BOPAL","Ahmadabad","Gujarat","380058","9687622255 / 9925279055 / 9712317755","gmsales@riyatata.com;servicemanager@riyatata.com"
"RIYA AUTOLINK","NEAR RAJPATH CLUB, SG HIGHWAY","Ahmadabad","Gujarat","380054","9687622255","gmsales@riyatata.com"
"PROGRESSIVE CARS PVT LTD-3004670","OPP. BAGGA HYUNDAI, NEAR IOCL PETROL PUMP, CHANDKHEDA","Ahmadabad","Gujarat","382424","9825662430","pcplchandkheda@gmail.com"
"PROGRESSIVE CARS PVT LTD-3004670","G-9,  SHAPATH V, BESIDE HOTEL CROWNE PLAZA, NEAR KARNAVATI CLUB , SG HIGHWAY","Ahmadabad","Gujarat","380015","9227150657","avinash.gupta@progressivecars.com"
"NAVNIT AUTO CENTER","C/O. NAVNIT PETROLEUM, HP PETROL PUMP, NEAR JANKI OIL MILL, LATHI ROAD","Amreli","Gujarat","365601","9601444404","navnitauto@outlook.com;service.navnitauto@outlook.com"
"PROGRESSIVE CARS PVT LTD","N.H. NO.8, CHIKHODARA CROSSING, OPP.  VISAMO HOTEL, GAMDI VILLAGE","Anand","Gujarat","388001","02692 - 251603 / 606","avinash.gupta@progressivecars.com"
"SHREEJI AUTOMART PVT. LTD.","OPP. ADINATH MARBLE, TEN GIDC, NADIDA CHOKDI, SURAT - BARDOLI ROAD","Bardoli","Gujarat","394601","0261 - 6592203","gmsales@shreejiautomart.com"
"PROGRESSIVE CARS PVT LTD-3004670","10-11, ADITYA SHOPING CENTRE, NH. NO. 8","Bareja","Gujarat","382425","7046023942","info@progressivecars.com"
"SHRADDHA MOTORS PVT LTD","ROURKELA, OPP. QUEEN ANGELS SCHOOL, N.H. 8","Bharuch","Gujarat","392015","0264 - 231526 / 231528","shraddhamotors@gmail.com"
"PD CARS PVT. LTD.","""SHANTI PRASTHA"", OPP. HDFC BANK LIMITED, NEAR CHITRA PETROL PUMP, DESAINAGAR, CHITRA","Bhavnagar","Gujarat","364003","7575001717","rajarshitata@gmail.com"
"PD CARS PVT. LTD.","ARYA PLAZA, PALIYAD ROAD","Botad","Gujarat","364710","7575001702","sales@rajarshitata.com"
"SP VEHICLES","DARBHAVATI SHOPING CENTER, NEAR MIRAB MARBLE, VEGA DABHOI ROAD","Dabhoi","Gujarat","391110","6359882551","salessmvehicles@spgroups.co.in"
"GAJANAND MOTORS PVT LTD-3002990","AT-DEESA    PO-DEESA., TA-DEESA,DIST-B.K..","Deesa","Gujarat","385535","9099959638","gajanand_pcd78@yahoo.co.in"
"PARTH AUTOCARS LLP","OLD INDORE ROAD, NEAR BAPU NAGAR","Dohad","Gujarat","389151","9512700119","parthautocars@gmail.com"
"HARSOLIA BROTHERS","SECTOR - 28, PLOT NO.-301, GIDC","Gandhinagar","Gujarat","382028","079-23211085","harsoliabros@gmail.com"
"PARTH AUTOCARS LLP","AT-VAVDI BUZARG, GODHRA DAHOD HIGHWAY ROAD, NEAR HOTEL LUXURA","Godhra","Gujarat","389001","9512700117","parthautocars@gmail.com"
"HARSOLIA MOTORS","NEAR HATHMATI BRIDGE, AMBAJI HIGHWAY ROAD","Himatnagar","Gujarat","383001","02772 - 241624 / 230046","harsolia@yahoo.com; harsoliamotors@gmail.com; zedharsolia1994@yahoo.com"
"BHAGVATI AUTOLINK PVT LTD","JETPUR-JUNAGADH HIGHWAY, OPP. HOTEL UTSAV, NEAR SARDAR CHOWK","Jetpur Navagadh","Gujarat","360370","9998992699","sm@bhagvatiautolink.com"
"BHAGVATI AUTOLINK PVT LTD","PLOT NO. 7, 8 & 15, OPP. S.K. INDUSTRIES, RAJKOT HIGHWAY, DOLATPARA","Junagadh","Gujarat","362037","0285 - 2661555 / 777","sales@bhagvatiautolink.com"
"PD CARS PVT. LTD.","MAHUVA BY PASS ROAD, RAJULA HIGHWAY, OPP AKSHARWADI TEMPLE","Mahuva","Gujarat","364290","02844-297120","sales@rajarshitata.com"
"HARSOLIA BROTHERS","MANGAL MURTI COMPLEX, GANDHINAGAR HIGHWAY ROAD","Mansa","Gujarat","382845","9824611845","aonemoto_tata@yahoo.com"
"FALCON MOTORS","PLOT-176, OPP. SHIVALA HOTEL, NR. BYPASS CIRCLE, HIGHWAY ROAD, AT-MEVAD","Mehsana","Gujarat","382710","9825303707","admin@falconmotors.co.in"
"PARIN MOTORS-3006660","OPP. AJANTA CLOCK GATE, MORBI-RAJKOT HIGHWAY, SANALA ROAD","Morvi","Gujarat","363641","9725213402","sm.morbi@parinmotors.com"
"GAJANAND MOTORS PVT LTD-3002990","ABU-DELHI NATIONAL HIGHWAY NO.14, NR. OLD R.T.O. OFFICE","Palanpur","Gujarat","385001","02742 - 255536 / 37","gajanand_pcd78@yahoo.co.in"
"PARIN MOTORS-3006660","SURVEY NO. 149, PLOT NO. 2, NEAR PARIN FURNITURE, NH 8B, GONDAL HIGHWAY","Rajkot","Gujarat","360004","0281-3300777","kumar.anjaria@parinfurniture.com"
"KARNAVATI MOTORS","A-1, RADHEUPVAN SOC., OPP. JALARAM MANDIR, NR. SOMNATH BUS STAND","Sanand","Gujarat","382110","7069404049","parth@karnavatigroup.com"
"PRAMUKH AUTOMOTIVE PRIVATE LIMITED","PLOT NO. 409/27-A, UMIYA NAGAR SOCIETY, NEAR CHOSATH JOGNI MATA TEMPLE, UDHNA MAGDALLA ROAD","Surat","Gujarat","394210","9825307771","ceo@pramukhautomotive.com"
"SHREEJI AUTOMART PVT. LTD.","04 A/B, SHREEJI HOUSE, OPPOSITE BIG BAZAR, DUMAS ROAD, PIPLOD","Surat","Gujarat","395002","8980007640","gmsales@shreejiautomart.com"
"FALCON MOTORS","S9 COMPLEX, UNJHA - SIDDHPUR ROAD","Unjha","Gujarat","384170","9909000446","sales@falconmotors.co.in"
"SP VEHICLES","PLOT NO. 177, PAIKI TP NO. 13, CHHANI ROAD, FATEHGANJ","Vadodara","Gujarat","390002","6359882551","jayesh@spgroups.co.in"
"ABC AUTO LINK","1401, RANOLI, GIDC","Vadodara","Gujarat","391350","9376225824","abcautolink@gmail.com"
"BHAGVATI AUTOLINK PVT LTD","VERAVAL JUNAGADH HIGHWAY, NEAR SAI BABA TEMPLE, OPP. HOTEL DAKSH","Veraval","Gujarat","362265","02876-244111","gunjan@bhagvatiautolink.com"
"FALCON MOTORS","DHARKESH COMPLEX, NR ITI COLLEGE","Visnagar","Gujarat","384315","7043242711","sales@falconmotors.co.in"
"PRAMUKH AUTOMOTIVE PRIVATE LIMITED","D-1/2, ARNAV POINT, VYARA-DHULIA ROAD, AT: TADKUWA, TA: VYARA","Vyara","Gujarat","394650","9081990531","sales.rural@pramukhautomotive.com"
"METRO MOTORS","121, RAILWAY ROAD, AMBALA CANT","Ambala","Haryana","133001","0171-4092200","manavdas@metromotors.co.in"
"RAMA AUTO CARS","AKASH TOWER, OPP. METRO PILLAR # 807, BAHADURGARH - DELHI ROAD","Bahadurgarh","Haryana","124507","9053099021","sales.ramaautocars@gmail.com"
"MAHADEV MOTORS-3008820","OPP. SANJEET FILLING STATION, ROHTAK ROAD","Bhiwani","Haryana","127021","9467927227","tatabhiwani@gmail.com"
"MAHADEV MOTORS-3008820","LOHARU ROAD, NEAR LOHARU CHOWK","Charki Dadri","Haryana","127306","9467927227","tatabhiwani@gmail.com"
"RP JHUNTHRA AUTOWHEELS PVT. LTD.","NEAR LADHA SERVICE STATION, SIRSA ROAD","Ellenabad","Haryana","125102","8222900336","sm.rpjtatasrs@gmail.com"
"MULTITECH MOTORS LLP-3007570","15/2, SEC-27A MATHURA ROAD","Faridabad","Haryana","121003","7290085455","gmsales@multitechmotors.com"
"MULTITECH MOTORS LLP-3007570","PLOT NO.1 NORTHERN INDIA COMPLEX, 20/3 MATHURA ROAD","Faridabad","Haryana","121003","7290085455","gmsales@multitechmotors.com"
"TELMOS AUTOMOBILES (P) LIMITED","SIRSA- DELHI ROAD","Fatehabad","Haryana","125050","9466221161","telmossales.fatehabad@gmail.com"
"SWAN MOTORS PVT. LTD.","FOWAHARA CHOWK","Gohana","Haryana","131301","9215217772","sales@swanmotors.com"
"HARTRON MOTORS LLP","KHASRA NO 352/3, ISLAMPUR","Gurgaon","Haryana","122001","0124-2200444","gmsales@hartronmotors.com"
"ANR AUTOMOBILES PVT LTD","PLOT NO 90, IDC, MEHRAULI ROAD","Gurgaon","Haryana","122001","0124 -4888000/ 4888001","gmsales@aryamotors.in"
