"Dealer Name","Address","City","State","Pincode","Contact","Email"
"KAS Cars Private Limited","Plot No-171, Industrial Area Phase-I,","Chandigarh","Chandigarh","160002","7710339991","arun.kumar@kascars.in"
"S R Tranzcars Private Limited","115A, Saibaba Kovil, Mettupalayam Road, Opp. Ganga Hospital, ","Coimbatore","Tamil Nadu","641011","0422-407777, 7550307777","agm@srtgroup.co.in"
"LSC Autowheels Pvt Limited","Mohabewala Industrial Area, Opp. Manav Kendra, Saharanpur Road,  Post office Clement Town,","Dehradun","Uttarakhand","248002","8954800123, 8954600123, 8954700123, 8395874804","info@lsc-fca.com, salesrdr@lsc-fca.com"
"Landmark Lifestyle Cars Pvt Ltd","G-4, B-1, Ground Floor, Solitaire Plaza, M G Road,","Gurugram","Delhi NCR","122002","9510995000","crmsales.ggn@landmarkjeep.in"
"Mahesh Motors Private Limited","G-1 , Sohum Residency, Ground Floor, R.G. Baruah Road,","Guwahati","Assam","781005","9101143313","gm@mahesh-fca.com"
"Paramount Cars India Private Limited","Shyam Complex, Opposite Jindal Marg, Vidyut Nagar, ","Hisar","Haryana","125005","8882501515","vivekahluwalia@jsbgroup.in, saleshead@paramountcars.in"
"Bellad Enterprises Private Limited","Opp. NGEF, Rayapur, P.B. Road","Hubli","Karnataka","580025","9686689132, 9880344577","sales1@bellad-fca.com; salesmanager@bellad-fca.com"
"A V Motors","1-8-303/45, Minister Road, Secunderabad","Hyderabad","Telangana","500003","9505516655","jeep@avmotors.co.in"
"Sree Krishna Automotives Hyderabad Private Limited","Plot No-240, Road No-36 Jubilee Hills, Next To Beyond Coffee","Hyderabad","Telangana","500081","8367780653, 8498900900","sales@pridefca.com"
"Satguru Engitech Private Limited","10, Vishnu Puri, A. B. Road, Near Medisquare Hospital,","Indore","Madhya Pradesh","452001,","9300016221","satguru.fca@gmail.com"
"Akar Cars Private Limited","S-1, Fathe Singh Ki Dharamshala, Kalward Scheme, Gopal Bari, Station Road,","Jaipur","Rajasthan","302001","0141-4709999, 9116609919","jeepjaipur@rediffmail.com"
"Akar Cars Private Limited","B-123A , Road No.9 Vishwakarma Industrial Area,","Jaipur","Rajasthan","302016","9829065635","jeepjaipur@rediffmail.com"
"Gitansh Autos Pvt Ltd","G T Road  Village Khajurla, Near Havelli Dist-Kapurthala,","Jalandhar","Punjab","144411","7527007210","salesjeep.jal@gitanshgroup.com"
"Gulhati Cars Private Limited","Greater Kailash Chowk, NH 1 A, Opposite Utsav Banquet Hall,","Jammu","Jammu & Kashmir","180011","0191-2484404, 0191-2484400, 9086037100","seniorsm@nationalfiat.com, sales@national-fca.com"
"Smart Motors","Plot No. 01, 14/75 Gopal Vihar Civil Lines,","Kanpur","Uttar Pradesh","208001","7897995046","gmsales@smartmotors-fca.com"
"Rahul Pam Pvt Ltd","118-119 Milestone, NH-1, G.T. Road","Karnal","Haryana","132001","9813100004","Sales.fca@rahulgroup.in, Service.fca@rahulgroup.in"
"Aaron Wheels LLP","1169 B/2, E Ward, Rajaram Road","Kolhapur","Maharashtra","416001","9168748585","gm@aaronfiat.com"
"Mundra Automobiles Private Limited","G-10 Automobile Zone, Road No.5,","Kota","Rajasthan","324005","7665012387","sales@mundra-fca.com, gm@mundra-fca.com, mundrafca@gmail.com "
"ARAS PVPV Motori Private Limited","35/1, Dindigul National Highways, Near ARC Parcel Service, Vilangudi,","Madurai","Tamil Nadu","625018","9585277888, 04522669614","fiat.sales@araspvpv.in, salesmanager.mdu@arasgroup.org"
"WSL Automobiles Private Limited","Plot No. D-144, Industrial Area Phase-7,","Mohali","Punjab","160055","8195018887","gm@wslauto.in"
"Urs Kar Service Centre Private Limited","No.201, Survey 1/B, Hunsur Main Road, Hinkal","Mysore","Karnataka","570017","9986184422","jeep@urskar.com"
"Central Avenue Trading Company Private Limited","Plot No.40, Jalaram Nagar, Old Bhandara Road, Near Railway Crossing","Nagpur","Maharashtra","440008","9881722001, 8237507130","gm.sales@jaikacars-fca.com, crm.sales@jaikacars-fca.com"
"Moahrir Auto Trade Pvt Ltd","Plot.No.07, S.No.1043/02/02, Trimbak Road","Nashik","Maharashtra","422005","8446670555","jeepnashik@gmail.com"
"Sky Moto Automobiles Private Limited","ICC Tower, Ground Floor, B Wing, Senapati Bapat Road, Near Pantaloon Mall,Opp. J W Marriott Hotel,","Pune","Maharashtra","411053","8551908070, 020-67489999 ","businesshead@skymoto-fca.com, agm@skymoto-fca.com"
"Sky Moto Automobiles Private Limited","Shop Bearing No-102, Ground Floor, Pushpak Business Hub, Survey No-130/4/1B+5B, 130/4/1B+5K/3& 130/4/1B+5B/3, Bhumkar Chowk, Village-Wakad, Pune-Mumbai Highway, Tal-Mulshi,","Pune","Maharashtra","411057","8551908070, 8149223322 ","crm@skymoto-fca.com, businesshead@skymoto-fca.com"
"Car Planet Enterprises Private Limited","Opposite to Deen Dayal Upadhyay Nagar, Ring Road No.1, Raipura,","Raipur","Chattisgarh","492013","8225870333","info@carplanet-fca.com, manager.sales@carplanet-fca.com"
"Rajarshi Miles Private Limited","Gondal-Ahmedabad, By Pass Circle, Beside of Flyover, National Highway 8-B, Gondal Road,","Rajkot","Gujarat","360004","9033409900","GM@PRIDEFIAT.COM; sales@pride-fca.com; mahavir@pride-fca.com"
"K. P. Automobiles Private Limited","H.B Road, Kokar, Near Post Office,","Ranchi","Jharkhand","834001","7781017907, 0651-2542822, 7781017920","kpautorncsales@gmail.com, kpautoranchi@gmail.com, sales@kpautomobiles-fca.com"
"The True Sai Motorss","Salem -Omalur Main Road, Near Hotel Grand Estancia, Narasodhipatti","Salem","Tamil Nadu","636004","9994077227","fiatsales@thetruesai.com"
"Krishna Auto Link","Sr. No. 522 B, 523 B, 513, Near NH4, At. Post. Wadhe, Tal","Satara","Maharashtra","415001","7719999912, 8888173848","gm@krishnaauto-fca.com, accounts@krishnaauto-fca.com"
"Sahil Automobile Private Limited","E-56/57, Industrial Area, Main Rohtak Road,","Sonepat","Harayana","131001","8222857585","crm@sahilfiat.com"
"ARG Automobiles Private Limited","Goripora Byepass, Sanatnagar, Near CRPF camp,","Srinagar","Jammu & Kashmir","190005","01942430635, 9596888330, 9070503405","gmotors98@gmail.com, autovia@argautomobiles.com"
"Sukrit Autolink","G1 & G2, Milagro Mile Stone, Near Vir Narmad South Gujarat University, Someshwar Cross Road, Udhna Magdalla Road, Vesu,","Surat","Gujarat","395007","9725209292, 9725209293","gm@sukrit-fca.com"
"Hyson Auto Sales Private Limited","TC 9/275-9, NH-47 Mannuthy By-pass, Kuttanellur","Thrissur","Kerala","680014","9526049500, 9947611111","salesteam-tcr@hyson-fca.com"
"Rehoboth Cars Private Limited","135/5A1, Reddiarpatti Village, Kanyakumari-Madurai 4 Lane Way,","Tirunelveli","Tamil Nadu","627007","8220122222, 9360277702","sales@rehobothasia.com"
"Jayaraj Karz","152/2, Madurai National Highway, Panjapur,","Trichy","Tamilnadu","620012","0431-2906420, 9244227773","salesmanagerkarz@jayarajgroup.com"
"Deedi Motors Private Limited","NH Bypass, Erumalathop, Venpalavattom, Anayara P.O., ","Trivandrum","Kerala","695029","0471- 2741009, 2743006","info@deedi-fca.com"
"Bhaskara Automotion Private Limited","460, Opposite GSFC Colony Entrance, Near Ashok Leyland, Old NH - 8, Dashrath","Vadodara","Gujarat","391740","9825007847, 9825005983","nitin.gupta@bhaskara-fca.com"
"Turbo Automotives Private Limited","No.195/4 N 195/5, NH-5 Road, Opp. Enikepadu Panchyat Office Enikepadu, Vijaywada, Rural Krishna District","VIJAYWADA","Andhra Pradesh","521101","8886626640, 9298505555","sales.turbofiat@gmail.com"
"Orange Auto Private Limited","Ground Floor, RR House, Narasimha Nagar, Port Stadium,","Visakhapatnam","Andhra Pradesh","530024","8886371717, 098857 01234, 0891-2566670","saleshead@orangeauto.in"
"Nidhi Kamal CO.PVT.LTD.","Plot No- 78, Road No-B, Mewar Industrial Area, Madri,","Udaipur","Rajasthan","313001","8094111189","gm@nidhikamalfca.com"
"N.R. Traders","Thongju Part II, Pheijaleitong, P.O. Canchipur, P.S. Singjamei, East District, ","Imphal","Manipur","795003","0385-2435525/8974008839","sales.manager@roshika-fca.com, nr_traders2010@yahoo.in"
"KVR Motor Cars Private Limited","Kizhuthally, Kannur- Tellicherry Road, Near South railway Gate, P.O. Thazhe Chovva, ","Kannur","Kerala","670018","",""
"Tapan Industries ","Late Sh. Murari lal Goyal Complex-1, Shamlech, Barog Bye Pass,","Solan","Himachal Pradesh","173211","8629000372","fcasalesmanagersolan@tapan.industries"
"MPS Motors Private Limited ","GR Grand Plaza, Sy. No. 70, JP Nagar Phase 6, Kanakapura Main Road,","Bengaluru","Karnataka","560078","080-46466600, 7997988777","salesmanager.blr@mps-fca.com"
"MVR Automotive Private Limited","15/53/A3  Miramar Highway Opp Harley Davidson Showroom-Caranzalem Miramar In Tiswadi-North Goa","Panjim","Goa","403001","0832-2463919","info@mvr-fca.com"
"GMA Pinnacle Automotives Private Limited","Door No. 2/282, NH 47 Bypass, Maradu P.O, Kundannur, Ernakulam,","Cochin","Kerala","682304","",""
"Rahul Pam Private Limited","Near Laskeri Mal Satish Chander Petrol Pump, Opp Sector-25, GT Road,","Panipat","Haryana","132103","",""
"Sahil Automobile Private Limited","90/1 Near Invitation Garden Hissar Road,","Rohtak","Haryana","124001","",""
"Sree Krishna Automotives Hyderabad Private Limited","SY No-110, H No 23-6-114/2, Hunter Road,  Opp, FCI Godown's, Shayampet,","Warangal","Andhra Pradesh","506002","8367780652","sales.wgl@pridefca.com"
"GMA Pinnacle Automotives Private Limited","Door No 614/E, Molayil Arcade, Kadathy, Muvattupuzha, Ernakulam,","Cochin","Kerala","686673","",""
"Nidhi Kamal Company Private Limited","Khasra No. 530, Gayatri Auto Packers and Movers, Parbatpura Byepass, Opposite to Maharaja Restaurant,","Ajmer","Rajasthan","305002","",""
"Concept Motorcar","Concept Jeep, Next to Vishala Hotel, Vasna,","Ahmedabad","Gujarat","380055","9909039811","salesmanager@conceptjeep.in"
"Sky Moto Automobiles Private Limited","Sr No-145, Near Magarpatta City Main Gate, Magarpatta Road, Keshav Nagar, Hadapsar, ","Pune","Maharashtra","411028","8551908070,  9607999370 ","agm.hadapsar@skymoto-fca.com, businesshead@skymoto-fca.com"
"MPS Motors Private Limited","Survery No. 4, Panchayat Khata No. 62-4, Near Electronic City, Hosur Road, Lavakusha Nagar, Beratena Agrahara Village, Begur Hobli,","Bengaluru","Karnataka","560100","080-22547700, 7997988770, 7997988781","salesmanager1.blr@mps-fca.com"
"Hyson Auto Sales Private Limited ","Hyson Auto Sales Pvt. Ltd. Building No XII-78D, MC Road, Thellakom P O, ","Kottayam","Kerala","686630","7025542200, 7025011111","salesmanager-ktm@hyson-fca.com"
"WSL Automobiles Private Limited","Green Mart Nursery & Garden Store, C/o Plantsmans Pvt Ltd., Bahadurgarh, Village/Casba-Roori (Bahadurgarh), Patiala-Rajpyra Road,","Patiala","Punjab","147001","8195018887","sales.patiala@wslauto.in"
"Car Planet Enterprises Private Limited","Near City Mall, Beside Uslapur Bridge, Uslapur,","Bilaspur","Chhattisgarh","495111","8224070111","carplanetbsp@gmail.com"
"Legend Cars  ","Matiyari, Faizabad Road, Near Anand Motors, Chinhut,","Lucknow","Uttar Pradesh","226019","7311191172","Jeep.sales@legend-fca.com"
"Celica Automobiles Private Limited","Annapurna Anex, 2nd Mile Sevoke Road, Opposite to Vishal Cinema Hall, Beside Annapurna TVS,","Siliguri","West Bengal","734001","9073911127","info.siliguri@celica-fca.com"
"Classic Cars","Daliganj Railway Crossing, Near Central Bank Of India, Sitapur Road,","Lucknow","Uttar Pradesh","226020","","ravi.verma@classiccars-fca.com"
